id_computeur,sum_counts,date,Column
100007049-102007049,24.0,2022-12-25T15:00:00+00:00,
100007049-102007049,16.0,2022-12-25T17:00:00+00:00,
100007049-102007049,16.0,2022-12-25T18:00:00+00:00,
100007049-102007049,11.0,2022-12-25T19:00:00+00:00,
100007049-102007049,4.0,2023-07-14T02:00:00+00:00,
100007049-102007049,7.0,2023-07-14T06:00:00+00:00,
100007049-102007049,8.0,2023-07-14T08:00:00+00:00,
100007049-102007049,13.0,2023-07-14T09:00:00+00:00,
100007049-102007049,24.0,2023-07-14T10:00:00+00:00,
100007049-102007049,16.0,2023-07-14T15:00:00+00:00,
100007049-102007049,25.0,2023-07-14T16:00:00+00:00,
100007049-102007049,24.0,2023-07-14T17:00:00+00:00,
100007049-101007049,28.0,2023-07-14T00:00:00+00:00,
100007049-101007049,11.0,2023-07-14T01:00:00+00:00,
100007049-101007049,13.0,2023-07-14T05:00:00+00:00,
100007049-101007049,19.0,2023-07-14T08:00:00+00:00,
100007049-101007049,41.0,2023-07-14T10:00:00+00:00,
100007049-101007049,41.0,2023-07-14T12:00:00+00:00,
100007049-101007049,34.0,2023-07-14T15:00:00+00:00,
100007049-101007049,47.0,2023-07-14T16:00:00+00:00,
100007049-101007049,53.0,2023-07-14T22:00:00+00:00,
100007049-101007049,37.0,2023-07-14T23:00:00+00:00,
100036718-104036718,228.0,2023-04-05T06:00:00+00:00,
100036718-104036718,159.0,2023-04-05T15:00:00+00:00,
100036718-104036718,34.0,2023-04-05T22:00:00+00:00,
100036719-104036719,1.0,2023-04-05T03:00:00+00:00,
100036719-104036719,44.0,2023-04-05T10:00:00+00:00,
100036719-104036719,45.0,2023-04-05T12:00:00+00:00,
100036719-104036719,36.0,2023-04-05T13:00:00+00:00,
100036719-104036719,114.0,2023-04-05T17:00:00+00:00,
100036719-104036719,33.0,2023-04-05T19:00:00+00:00,
100036719-104036719,25.0,2023-04-05T20:00:00+00:00,
100036719-104036719,22.0,2023-04-05T21:00:00+00:00,
100036719-104036719,18.0,2023-04-05T22:00:00+00:00,
100036719-103036719,2.0,2023-04-05T02:00:00+00:00,
100036719-103036719,5.0,2023-04-05T03:00:00+00:00,
100036719-103036719,35.0,2023-04-05T05:00:00+00:00,
100036719-103036719,98.0,2023-04-05T06:00:00+00:00,
100036719-103036719,52.0,2023-04-05T09:00:00+00:00,
100036719-103036719,65.0,2023-04-05T11:00:00+00:00,
100036719-103036719,67.0,2023-04-05T13:00:00+00:00,
100036719-103036719,52.0,2023-04-05T14:00:00+00:00,
100036718-104036718,15.0,2022-12-25T11:00:00+00:00,
100036718-104036718,15.0,2022-12-25T12:00:00+00:00,
100036718-104036718,9.0,2022-12-25T13:00:00+00:00,
100036718-104036718,18.0,2022-12-25T15:00:00+00:00,
100036718-104036718,22.0,2022-12-25T16:00:00+00:00,
100036718-104036718,12.0,2022-12-25T18:00:00+00:00,
100036718-104036718,5.0,2022-12-25T22:00:00+00:00,
100036719-104036719,2.0,2022-12-25T02:00:00+00:00,
100036719-104036719,6.0,2022-12-25T10:00:00+00:00,
100036719-104036719,2.0,2022-12-25T12:00:00+00:00,
100036719-104036719,3.0,2022-12-25T22:00:00+00:00,
100036719-103036719,1.0,2022-12-25T01:00:00+00:00,
100036719-103036719,2.0,2022-12-25T02:00:00+00:00,
100036719-103036719,2.0,2022-12-25T05:00:00+00:00,
100036719-103036719,0.0,2022-12-25T06:00:00+00:00,
100036719-103036719,4.0,2022-12-25T07:00:00+00:00,
100036719-103036719,14.0,2022-12-25T11:00:00+00:00,
100036719-103036719,17.0,2022-12-25T14:00:00+00:00,
100036719-103036719,25.0,2022-12-25T16:00:00+00:00,
100036719-103036719,5.0,2022-12-25T21:00:00+00:00,
100036718-104036718,28.0,2023-07-14T00:00:00+00:00,
100036718-104036718,14.0,2023-07-14T03:00:00+00:00,
100036718-104036718,12.0,2023-07-14T04:00:00+00:00,
100036718-104036718,7.0,2023-07-14T05:00:00+00:00,
100036718-104036718,26.0,2023-07-14T06:00:00+00:00,
100036718-104036718,23.0,2023-07-14T07:00:00+00:00,
100036718-104036718,77.0,2023-07-14T15:00:00+00:00,
100036718-104036718,67.0,2023-07-14T18:00:00+00:00,
100036718-104036718,62.0,2023-07-14T19:00:00+00:00,
100036718-104036718,46.0,2023-07-14T21:00:00+00:00,
100036718-104036718,72.0,2023-07-14T23:00:00+00:00,
100036719-104036719,15.0,2023-07-14T00:00:00+00:00,
100036719-104036719,3.0,2023-07-14T03:00:00+00:00,
100036719-104036719,4.0,2023-07-14T05:00:00+00:00,
100036719-104036719,12.0,2023-07-14T07:00:00+00:00,
100036719-104036719,15.0,2023-07-14T09:00:00+00:00,
100036719-104036719,60.0,2023-07-14T13:00:00+00:00,
100036719-104036719,52.0,2023-07-14T16:00:00+00:00,
100036719-104036719,50.0,2023-07-14T17:00:00+00:00,
100036719-104036719,35.0,2023-07-14T18:00:00+00:00,
