id_computeur,identif,sum_counts,date
100041488-101041488,100041488-101041488_2023-04-05T01:00:00+00:00,4.0,2023-04-05T01:00:00+00:00
100041488-101041488,100041488-101041488_2023-04-05T09:00:00+00:00,85.0,2023-04-05T09:00:00+00:00
100041488-101041488,100041488-101041488_2023-04-05T16:00:00+00:00,162.0,2023-04-05T16:00:00+00:00
100041488-101041488,100041488-101041488_2023-04-05T18:00:00+00:00,92.0,2023-04-05T18:00:00+00:00
100042374-110042374,100042374-110042374_2023-04-05T01:00:00+00:00,1.0,2023-04-05T01:00:00+00:00
100042374-110042374,100042374-110042374_2023-04-05T02:00:00+00:00,0.0,2023-04-05T02:00:00+00:00
100042374-110042374,100042374-110042374_2023-04-05T03:00:00+00:00,0.0,2023-04-05T03:00:00+00:00
100042374-110042374,100042374-110042374_2023-04-05T04:00:00+00:00,7.0,2023-04-05T04:00:00+00:00
100042374-110042374,100042374-110042374_2023-04-05T05:00:00+00:00,26.0,2023-04-05T05:00:00+00:00
100042374-110042374,100042374-110042374_2023-04-05T06:00:00+00:00,139.0,2023-04-05T06:00:00+00:00
100042374-110042374,100042374-110042374_2023-04-05T07:00:00+00:00,177.0,2023-04-05T07:00:00+00:00
100042374-110042374,100042374-110042374_2023-04-05T11:00:00+00:00,45.0,2023-04-05T11:00:00+00:00
100042374-110042374,100042374-110042374_2023-04-05T17:00:00+00:00,260.0,2023-04-05T17:00:00+00:00
100042374-109042374,100042374-109042374_2023-04-05T05:00:00+00:00,125.0,2023-04-05T05:00:00+00:00
100042374-109042374,100042374-109042374_2023-04-05T06:00:00+00:00,562.0,2023-04-05T06:00:00+00:00
100042374-109042374,100042374-109042374_2023-04-05T09:00:00+00:00,78.0,2023-04-05T09:00:00+00:00
100042374-109042374,100042374-109042374_2023-04-05T12:00:00+00:00,58.0,2023-04-05T12:00:00+00:00
100042374-109042374,100042374-109042374_2023-04-05T13:00:00+00:00,59.0,2023-04-05T13:00:00+00:00
100042374-109042374,100042374-109042374_2023-04-05T19:00:00+00:00,56.0,2023-04-05T19:00:00+00:00
100042374-109042374,100042374-109042374_2023-04-05T23:00:00+00:00,4.0,2023-04-05T23:00:00+00:00
100041488-101041488,100041488-101041488_2022-12-25T01:00:00+00:00,2.0,2022-12-25T01:00:00+00:00
100041488-101041488,100041488-101041488_2022-12-25T04:00:00+00:00,4.0,2022-12-25T04:00:00+00:00
100041488-101041488,100041488-101041488_2022-12-25T06:00:00+00:00,4.0,2022-12-25T06:00:00+00:00
100041488-101041488,100041488-101041488_2022-12-25T07:00:00+00:00,6.0,2022-12-25T07:00:00+00:00
100041488-101041488,100041488-101041488_2022-12-25T09:00:00+00:00,7.0,2022-12-25T09:00:00+00:00
100041488-101041488,100041488-101041488_2022-12-25T10:00:00+00:00,21.0,2022-12-25T10:00:00+00:00
100041488-101041488,100041488-101041488_2022-12-25T13:00:00+00:00,22.0,2022-12-25T13:00:00+00:00
100041488-101041488,100041488-101041488_2022-12-25T14:00:00+00:00,25.0,2022-12-25T14:00:00+00:00
