id_computeur,identif,sum_counts,date
100041488-101041488,100041488-101041488_2022-12-25T16:00:00+00:00,23.0,2022-12-25T16:00:00+00:00
100041488-101041488,100041488-101041488_2022-12-25T18:00:00+00:00,26.0,2022-12-25T18:00:00+00:00
100042374-110042374,100042374-110042374_2022-12-25T01:00:00+00:00,1.0,2022-12-25T01:00:00+00:00
100042374-110042374,100042374-110042374_2022-12-25T02:00:00+00:00,2.0,2022-12-25T02:00:00+00:00
100042374-110042374,100042374-110042374_2022-12-25T04:00:00+00:00,0.0,2022-12-25T04:00:00+00:00
100042374-110042374,100042374-110042374_2022-12-25T07:00:00+00:00,4.0,2022-12-25T07:00:00+00:00
100042374-110042374,100042374-110042374_2022-12-25T08:00:00+00:00,1.0,2022-12-25T08:00:00+00:00
100042374-110042374,100042374-110042374_2022-12-25T09:00:00+00:00,4.0,2022-12-25T09:00:00+00:00
100042374-110042374,100042374-110042374_2022-12-25T12:00:00+00:00,13.0,2022-12-25T12:00:00+00:00
100042374-110042374,100042374-110042374_2022-12-25T13:00:00+00:00,11.0,2022-12-25T13:00:00+00:00
100042374-110042374,100042374-110042374_2022-12-25T16:00:00+00:00,16.0,2022-12-25T16:00:00+00:00
100042374-110042374,100042374-110042374_2022-12-25T18:00:00+00:00,7.0,2022-12-25T18:00:00+00:00
100041488-101041488,100041488-101041488_2023-07-14T00:00:00+00:00,22.0,2023-07-14T00:00:00+00:00
100041488-101041488,100041488-101041488_2023-07-14T02:00:00+00:00,15.0,2023-07-14T02:00:00+00:00
100041488-101041488,100041488-101041488_2023-07-14T06:00:00+00:00,45.0,2023-07-14T06:00:00+00:00
100041488-101041488,100041488-101041488_2023-07-14T09:00:00+00:00,60.0,2023-07-14T09:00:00+00:00
100041488-101041488,100041488-101041488_2023-07-14T10:00:00+00:00,70.0,2023-07-14T10:00:00+00:00
100041488-101041488,100041488-101041488_2023-07-14T13:00:00+00:00,70.0,2023-07-14T13:00:00+00:00
100041488-101041488,100041488-101041488_2023-07-14T14:00:00+00:00,66.0,2023-07-14T14:00:00+00:00
100041488-101041488,100041488-101041488_2023-07-14T20:00:00+00:00,44.0,2023-07-14T20:00:00+00:00
100042374-110042374,100042374-110042374_2023-07-14T15:00:00+00:00,19.0,2023-07-14T15:00:00+00:00
100042374-110042374,100042374-110042374_2023-07-14T21:00:00+00:00,64.0,2023-07-14T21:00:00+00:00
100042374-110042374,100042374-110042374_2023-07-14T22:00:00+00:00,38.0,2023-07-14T22:00:00+00:00
100042374-109042374,100042374-109042374_2023-07-14T02:00:00+00:00,8.0,2023-07-14T02:00:00+00:00
100042374-109042374,100042374-109042374_2023-07-14T06:00:00+00:00,45.0,2023-07-14T06:00:00+00:00
100042374-109042374,100042374-109042374_2023-07-14T13:00:00+00:00,100.0,2023-07-14T13:00:00+00:00
100042374-109042374,100042374-109042374_2023-07-14T15:00:00+00:00,89.0,2023-07-14T15:00:00+00:00
100042374-109042374,100042374-109042374_2023-07-14T18:00:00+00:00,70.0,2023-07-14T18:00:00+00:00
100042374-109042374,100042374-109042374_2023-07-14T19:00:00+00:00,82.0,2023-07-14T19:00:00+00:00
100042374-109042374,100042374-109042374_2023-07-14T21:00:00+00:00,11.0,2023-07-14T21:00:00+00:00
100042374-109042374,100042374-109042374_2023-07-14T22:00:00+00:00,25.0,2023-07-14T22:00:00+00:00
100041488-101041488,100041488-101041488_2023-07-14T03:00:00+00:00,15.0,2023-07-14T03:00:00+00:00
100003096-353242251,100003096-353242251_2023-04-05T06:00:00+00:00,341.0,2023-04-05T06:00:00+00:00
100003096-353242251,100003096-353242251_2023-04-05T07:00:00+00:00,266.0,2023-04-05T07:00:00+00:00
100003096-353242251,100003096-353242251_2023-04-05T08:00:00+00:00,134.0,2023-04-05T08:00:00+00:00
100003096-353242251,100003096-353242251_2023-04-05T09:00:00+00:00,80.0,2023-04-05T09:00:00+00:00
100003096-353242251,100003096-353242251_2023-04-05T10:00:00+00:00,82.0,2023-04-05T10:00:00+00:00
100003096-353242251,100003096-353242251_2023-04-05T11:00:00+00:00,114.0,2023-04-05T11:00:00+00:00
100003096-353242251,100003096-353242251_2023-04-05T12:00:00+00:00,79.0,2023-04-05T12:00:00+00:00
100003096-353242251,100003096-353242251_2023-04-05T18:00:00+00:00,69.0,2023-04-05T18:00:00+00:00
100003096-353242251,100003096-353242251_2023-04-05T21:00:00+00:00,22.0,2023-04-05T21:00:00+00:00
100003096-353242251,100003096-353242251_2023-04-05T22:00:00+00:00,0.0,2023-04-05T22:00:00+00:00
100003098-101003098,100003098-101003098_2023-04-05T00:00:00+00:00,10.0,2023-04-05T00:00:00+00:00
100003098-101003098,100003098-101003098_2023-04-05T03:00:00+00:00,6.0,2023-04-05T03:00:00+00:00
100003098-101003098,100003098-101003098_2023-04-05T09:00:00+00:00,70.0,2023-04-05T09:00:00+00:00
100003098-101003098,100003098-101003098_2023-04-05T11:00:00+00:00,96.0,2023-04-05T11:00:00+00:00
100003098-101003098,100003098-101003098_2023-04-05T12:00:00+00:00,79.0,2023-04-05T12:00:00+00:00
100003098-101003098,100003098-101003098_2023-04-05T17:00:00+00:00,257.0,2023-04-05T17:00:00+00:00
100003098-101003098,100003098-101003098_2023-04-05T22:00:00+00:00,71.0,2023-04-05T22:00:00+00:00
100006300-101006300,100006300-101006300_2023-04-05T00:00:00+00:00,4.0,2023-04-05T00:00:00+00:00
100006300-101006300,100006300-101006300_2023-04-05T04:00:00+00:00,22.0,2023-04-05T04:00:00+00:00
100006300-101006300,100006300-101006300_2023-04-05T10:00:00+00:00,117.0,2023-04-05T10:00:00+00:00
100003096-353242251,100003096-353242251_2022-12-25T00:00:00+00:00,9.0,2022-12-25T00:00:00+00:00
100003096-353242251,100003096-353242251_2022-12-25T03:00:00+00:00,0.0,2022-12-25T03:00:00+00:00
100003096-353242251,100003096-353242251_2022-12-25T07:00:00+00:00,2.0,2022-12-25T07:00:00+00:00
100003096-353242251,100003096-353242251_2022-12-25T08:00:00+00:00,6.0,2022-12-25T08:00:00+00:00
100003096-353242251,100003096-353242251_2022-12-25T15:00:00+00:00,29.0,2022-12-25T15:00:00+00:00
100003096-353242251,100003096-353242251_2022-12-25T17:00:00+00:00,12.0,2022-12-25T17:00:00+00:00
100003098-101003098,100003098-101003098_2022-12-25T02:00:00+00:00,3.0,2022-12-25T02:00:00+00:00
100003098-101003098,100003098-101003098_2022-12-25T03:00:00+00:00,1.0,2022-12-25T03:00:00+00:00
100003098-101003098,100003098-101003098_2022-12-25T04:00:00+00:00,6.0,2022-12-25T04:00:00+00:00
100003098-101003098,100003098-101003098_2022-12-25T07:00:00+00:00,2.0,2022-12-25T07:00:00+00:00
100003098-101003098,100003098-101003098_2022-12-25T09:00:00+00:00,7.0,2022-12-25T09:00:00+00:00
100003098-101003098,100003098-101003098_2022-12-25T10:00:00+00:00,10.0,2022-12-25T10:00:00+00:00
100003098-101003098,100003098-101003098_2022-12-25T15:00:00+00:00,14.0,2022-12-25T15:00:00+00:00
100003098-101003098,100003098-101003098_2022-12-25T16:00:00+00:00,32.0,2022-12-25T16:00:00+00:00
100003098-101003098,100003098-101003098_2022-12-25T17:00:00+00:00,38.0,2022-12-25T17:00:00+00:00
100003098-101003098,100003098-101003098_2022-12-25T19:00:00+00:00,23.0,2022-12-25T19:00:00+00:00
100003096-353242251,100003096-353242251_2023-07-14T00:00:00+00:00,20.0,2023-07-14T00:00:00+00:00
100003096-353242251,100003096-353242251_2023-07-14T02:00:00+00:00,5.0,2023-07-14T02:00:00+00:00
100003096-353242251,100003096-353242251_2023-07-14T05:00:00+00:00,7.0,2023-07-14T05:00:00+00:00
100003096-353242251,100003096-353242251_2023-07-14T06:00:00+00:00,35.0,2023-07-14T06:00:00+00:00
100003096-353242251,100003096-353242251_2023-07-14T10:00:00+00:00,67.0,2023-07-14T10:00:00+00:00
100003096-353242251,100003096-353242251_2023-07-14T15:00:00+00:00,71.0,2023-07-14T15:00:00+00:00
100003096-353242251,100003096-353242251_2023-07-14T16:00:00+00:00,79.0,2023-07-14T16:00:00+00:00
100003098-101003098,100003098-101003098_2023-07-14T02:00:00+00:00,33.0,2023-07-14T02:00:00+00:00
100003098-101003098,100003098-101003098_2023-07-14T04:00:00+00:00,25.0,2023-07-14T04:00:00+00:00
100003098-101003098,100003098-101003098_2023-07-14T06:00:00+00:00,8.0,2023-07-14T06:00:00+00:00
100003098-101003098,100003098-101003098_2023-07-14T10:00:00+00:00,40.0,2023-07-14T10:00:00+00:00
100003098-101003098,100003098-101003098_2023-07-14T11:00:00+00:00,39.0,2023-07-14T11:00:00+00:00
100003098-101003098,100003098-101003098_2023-07-14T12:00:00+00:00,65.0,2023-07-14T12:00:00+00:00
100003098-101003098,100003098-101003098_2023-07-14T13:00:00+00:00,60.0,2023-07-14T13:00:00+00:00
100003098-101003098,100003098-101003098_2023-07-14T17:00:00+00:00,99.0,2023-07-14T17:00:00+00:00
100003098-101003098,100003098-101003098_2023-07-14T21:00:00+00:00,78.0,2023-07-14T21:00:00+00:00
100006300-101006300,100006300-101006300_2023-07-14T01:00:00+00:00,8.0,2023-07-14T01:00:00+00:00
100006300-101006300,100006300-101006300_2023-07-14T02:00:00+00:00,8.0,2023-07-14T02:00:00+00:00
100006300-101006300,100006300-101006300_2023-07-14T05:00:00+00:00,27.0,2023-07-14T05:00:00+00:00
100006300-101006300,100006300-101006300_2023-07-14T09:00:00+00:00,95.0,2023-07-14T09:00:00+00:00
100007049-102007049,100007049-102007049_2023-04-05T00:00:00+00:00,0.0,2023-04-05T00:00:00+00:00
100007049-102007049,100007049-102007049_2023-04-05T02:00:00+00:00,2.0,2023-04-05T02:00:00+00:00
100007049-102007049,100007049-102007049_2023-04-05T09:00:00+00:00,27.0,2023-04-05T09:00:00+00:00
100007049-102007049,100007049-102007049_2023-04-05T19:00:00+00:00,13.0,2023-04-05T19:00:00+00:00
100007049-102007049,100007049-102007049_2023-04-05T23:00:00+00:00,4.0,2023-04-05T23:00:00+00:00
100007049-101007049,100007049-101007049_2023-04-05T00:00:00+00:00,4.0,2023-04-05T00:00:00+00:00
100007049-101007049,100007049-101007049_2023-04-05T01:00:00+00:00,4.0,2023-04-05T01:00:00+00:00
100007049-101007049,100007049-101007049_2023-04-05T05:00:00+00:00,21.0,2023-04-05T05:00:00+00:00
100007049-101007049,100007049-101007049_2023-04-05T06:00:00+00:00,84.0,2023-04-05T06:00:00+00:00
100007049-101007049,100007049-101007049_2023-04-05T08:00:00+00:00,31.0,2023-04-05T08:00:00+00:00
100007049-101007049,100007049-101007049_2023-04-05T09:00:00+00:00,37.0,2023-04-05T09:00:00+00:00
100007049-101007049,100007049-101007049_2023-04-05T15:00:00+00:00,115.0,2023-04-05T15:00:00+00:00
100007049-101007049,100007049-101007049_2023-04-05T17:00:00+00:00,168.0,2023-04-05T17:00:00+00:00
100007049-101007049,100007049-101007049_2023-04-05T18:00:00+00:00,82.0,2023-04-05T18:00:00+00:00
100036718-103036718,100036718-103036718_2023-04-05T02:00:00+00:00,3.0,2023-04-05T02:00:00+00:00
100036718-103036718,100036718-103036718_2023-04-05T03:00:00+00:00,11.0,2023-04-05T03:00:00+00:00
100036718-103036718,100036718-103036718_2023-04-05T05:00:00+00:00,94.0,2023-04-05T05:00:00+00:00
100036718-103036718,100036718-103036718_2023-04-05T10:00:00+00:00,108.0,2023-04-05T10:00:00+00:00
100036718-103036718,100036718-103036718_2023-04-05T11:00:00+00:00,97.0,2023-04-05T11:00:00+00:00
100036718-103036718,100036718-103036718_2023-04-05T14:00:00+00:00,115.0,2023-04-05T14:00:00+00:00
100007049-102007049,100007049-102007049_2022-12-25T00:00:00+00:00,9.0,2022-12-25T00:00:00+00:00
100007049-102007049,100007049-102007049_2022-12-25T01:00:00+00:00,12.0,2022-12-25T01:00:00+00:00
100007049-102007049,100007049-102007049_2022-12-25T02:00:00+00:00,0.0,2022-12-25T02:00:00+00:00
100007049-102007049,100007049-102007049_2022-12-25T08:00:00+00:00,6.0,2022-12-25T08:00:00+00:00
100007049-102007049,100007049-102007049_2022-12-25T09:00:00+00:00,7.0,2022-12-25T09:00:00+00:00
100007049-102007049,100007049-102007049_2022-12-25T13:00:00+00:00,6.0,2022-12-25T13:00:00+00:00
100007049-101007049,100007049-101007049_2022-12-25T02:00:00+00:00,4.0,2022-12-25T02:00:00+00:00
100007049-101007049,100007049-101007049_2022-12-25T16:00:00+00:00,12.0,2022-12-25T16:00:00+00:00
100007049-101007049,100007049-101007049_2022-12-25T23:00:00+00:00,7.0,2022-12-25T23:00:00+00:00
100036718-103036718,100036718-103036718_2022-12-25T08:00:00+00:00,8.0,2022-12-25T08:00:00+00:00
100036718-103036718,100036718-103036718_2022-12-25T09:00:00+00:00,8.0,2022-12-25T09:00:00+00:00
100036718-103036718,100036718-103036718_2022-12-25T10:00:00+00:00,15.0,2022-12-25T10:00:00+00:00
100036718-103036718,100036718-103036718_2022-12-25T11:00:00+00:00,12.0,2022-12-25T11:00:00+00:00
100036718-103036718,100036718-103036718_2022-12-25T19:00:00+00:00,9.0,2022-12-25T19:00:00+00:00
100007049-102007049,100007049-102007049_2022-12-25T03:00:00+00:00,0.0,2022-12-25T03:00:00+00:00
100007049-102007049,100007049-102007049_2022-12-25T06:00:00+00:00,8.0,2022-12-25T06:00:00+00:00
100007049-102007049,100007049-102007049_2022-12-25T15:00:00+00:00,24.0,2022-12-25T15:00:00+00:00
100007049-102007049,100007049-102007049_2022-12-25T17:00:00+00:00,16.0,2022-12-25T17:00:00+00:00
100007049-102007049,100007049-102007049_2022-12-25T18:00:00+00:00,16.0,2022-12-25T18:00:00+00:00
100007049-102007049,100007049-102007049_2022-12-25T19:00:00+00:00,11.0,2022-12-25T19:00:00+00:00
100007049-102007049,100007049-102007049_2023-07-14T02:00:00+00:00,4.0,2023-07-14T02:00:00+00:00
100007049-102007049,100007049-102007049_2023-07-14T06:00:00+00:00,7.0,2023-07-14T06:00:00+00:00
100007049-102007049,100007049-102007049_2023-07-14T08:00:00+00:00,8.0,2023-07-14T08:00:00+00:00
100007049-102007049,100007049-102007049_2023-07-14T09:00:00+00:00,13.0,2023-07-14T09:00:00+00:00
100007049-102007049,100007049-102007049_2023-07-14T10:00:00+00:00,24.0,2023-07-14T10:00:00+00:00
100007049-102007049,100007049-102007049_2023-07-14T15:00:00+00:00,16.0,2023-07-14T15:00:00+00:00
100007049-102007049,100007049-102007049_2023-07-14T16:00:00+00:00,25.0,2023-07-14T16:00:00+00:00
100007049-102007049,100007049-102007049_2023-07-14T17:00:00+00:00,24.0,2023-07-14T17:00:00+00:00
100007049-101007049,100007049-101007049_2023-07-14T00:00:00+00:00,28.0,2023-07-14T00:00:00+00:00
100007049-101007049,100007049-101007049_2023-07-14T01:00:00+00:00,11.0,2023-07-14T01:00:00+00:00
100007049-101007049,100007049-101007049_2023-07-14T05:00:00+00:00,13.0,2023-07-14T05:00:00+00:00
100007049-101007049,100007049-101007049_2023-07-14T08:00:00+00:00,19.0,2023-07-14T08:00:00+00:00
100007049-101007049,100007049-101007049_2023-07-14T10:00:00+00:00,41.0,2023-07-14T10:00:00+00:00
100007049-101007049,100007049-101007049_2023-07-14T12:00:00+00:00,41.0,2023-07-14T12:00:00+00:00
100007049-101007049,100007049-101007049_2023-07-14T15:00:00+00:00,34.0,2023-07-14T15:00:00+00:00
100007049-101007049,100007049-101007049_2023-07-14T16:00:00+00:00,47.0,2023-07-14T16:00:00+00:00
100007049-101007049,100007049-101007049_2023-07-14T22:00:00+00:00,53.0,2023-07-14T22:00:00+00:00
100007049-101007049,100007049-101007049_2023-07-14T23:00:00+00:00,37.0,2023-07-14T23:00:00+00:00
100036718-104036718,100036718-104036718_2023-04-05T06:00:00+00:00,228.0,2023-04-05T06:00:00+00:00
100036718-104036718,100036718-104036718_2023-04-05T15:00:00+00:00,159.0,2023-04-05T15:00:00+00:00
100036718-104036718,100036718-104036718_2023-04-05T22:00:00+00:00,34.0,2023-04-05T22:00:00+00:00
100036719-104036719,100036719-104036719_2023-04-05T03:00:00+00:00,1.0,2023-04-05T03:00:00+00:00
100036719-104036719,100036719-104036719_2023-04-05T10:00:00+00:00,44.0,2023-04-05T10:00:00+00:00
100036719-104036719,100036719-104036719_2023-04-05T12:00:00+00:00,45.0,2023-04-05T12:00:00+00:00
100036719-104036719,100036719-104036719_2023-04-05T13:00:00+00:00,36.0,2023-04-05T13:00:00+00:00
100036719-104036719,100036719-104036719_2023-04-05T17:00:00+00:00,114.0,2023-04-05T17:00:00+00:00
100036719-104036719,100036719-104036719_2023-04-05T19:00:00+00:00,33.0,2023-04-05T19:00:00+00:00
100036719-104036719,100036719-104036719_2023-04-05T20:00:00+00:00,25.0,2023-04-05T20:00:00+00:00
100036719-104036719,100036719-104036719_2023-04-05T21:00:00+00:00,22.0,2023-04-05T21:00:00+00:00
100036719-104036719,100036719-104036719_2023-04-05T22:00:00+00:00,18.0,2023-04-05T22:00:00+00:00
100036719-103036719,100036719-103036719_2023-04-05T02:00:00+00:00,2.0,2023-04-05T02:00:00+00:00
100036719-103036719,100036719-103036719_2023-04-05T03:00:00+00:00,5.0,2023-04-05T03:00:00+00:00
100036719-103036719,100036719-103036719_2023-04-05T05:00:00+00:00,35.0,2023-04-05T05:00:00+00:00
100036719-103036719,100036719-103036719_2023-04-05T06:00:00+00:00,98.0,2023-04-05T06:00:00+00:00
100036719-103036719,100036719-103036719_2023-04-05T09:00:00+00:00,52.0,2023-04-05T09:00:00+00:00
100036719-103036719,100036719-103036719_2023-04-05T11:00:00+00:00,65.0,2023-04-05T11:00:00+00:00
100036719-103036719,100036719-103036719_2023-04-05T13:00:00+00:00,67.0,2023-04-05T13:00:00+00:00
100036719-103036719,100036719-103036719_2023-04-05T14:00:00+00:00,52.0,2023-04-05T14:00:00+00:00
100036718-104036718,100036718-104036718_2022-12-25T11:00:00+00:00,15.0,2022-12-25T11:00:00+00:00
100036718-104036718,100036718-104036718_2022-12-25T12:00:00+00:00,15.0,2022-12-25T12:00:00+00:00
100036718-104036718,100036718-104036718_2022-12-25T13:00:00+00:00,9.0,2022-12-25T13:00:00+00:00
100036718-104036718,100036718-104036718_2022-12-25T15:00:00+00:00,18.0,2022-12-25T15:00:00+00:00
100036718-104036718,100036718-104036718_2022-12-25T16:00:00+00:00,22.0,2022-12-25T16:00:00+00:00
100036718-104036718,100036718-104036718_2022-12-25T18:00:00+00:00,12.0,2022-12-25T18:00:00+00:00
100036718-104036718,100036718-104036718_2022-12-25T22:00:00+00:00,5.0,2022-12-25T22:00:00+00:00
100036719-104036719,100036719-104036719_2022-12-25T02:00:00+00:00,2.0,2022-12-25T02:00:00+00:00
100036719-104036719,100036719-104036719_2022-12-25T10:00:00+00:00,6.0,2022-12-25T10:00:00+00:00
100036719-104036719,100036719-104036719_2022-12-25T12:00:00+00:00,2.0,2022-12-25T12:00:00+00:00
100036719-104036719,100036719-104036719_2022-12-25T22:00:00+00:00,3.0,2022-12-25T22:00:00+00:00
100036719-103036719,100036719-103036719_2022-12-25T01:00:00+00:00,1.0,2022-12-25T01:00:00+00:00
100036719-103036719,100036719-103036719_2022-12-25T02:00:00+00:00,2.0,2022-12-25T02:00:00+00:00
100036719-103036719,100036719-103036719_2022-12-25T05:00:00+00:00,2.0,2022-12-25T05:00:00+00:00
100036719-103036719,100036719-103036719_2022-12-25T06:00:00+00:00,0.0,2022-12-25T06:00:00+00:00
100036719-103036719,100036719-103036719_2022-12-25T07:00:00+00:00,4.0,2022-12-25T07:00:00+00:00
100036719-103036719,100036719-103036719_2022-12-25T11:00:00+00:00,14.0,2022-12-25T11:00:00+00:00
100036719-103036719,100036719-103036719_2022-12-25T14:00:00+00:00,17.0,2022-12-25T14:00:00+00:00
100036719-103036719,100036719-103036719_2022-12-25T16:00:00+00:00,25.0,2022-12-25T16:00:00+00:00
100036719-103036719,100036719-103036719_2022-12-25T21:00:00+00:00,5.0,2022-12-25T21:00:00+00:00
100036718-104036718,100036718-104036718_2023-07-14T00:00:00+00:00,28.0,2023-07-14T00:00:00+00:00
100036718-104036718,100036718-104036718_2023-07-14T03:00:00+00:00,14.0,2023-07-14T03:00:00+00:00
100036718-104036718,100036718-104036718_2023-07-14T04:00:00+00:00,12.0,2023-07-14T04:00:00+00:00
100036718-104036718,100036718-104036718_2023-07-14T05:00:00+00:00,7.0,2023-07-14T05:00:00+00:00
100036718-104036718,100036718-104036718_2023-07-14T06:00:00+00:00,26.0,2023-07-14T06:00:00+00:00
100036718-104036718,100036718-104036718_2023-07-14T07:00:00+00:00,23.0,2023-07-14T07:00:00+00:00
100036718-104036718,100036718-104036718_2023-07-14T15:00:00+00:00,77.0,2023-07-14T15:00:00+00:00
100036718-104036718,100036718-104036718_2023-07-14T18:00:00+00:00,67.0,2023-07-14T18:00:00+00:00
100036718-104036718,100036718-104036718_2023-07-14T19:00:00+00:00,62.0,2023-07-14T19:00:00+00:00
100036718-104036718,100036718-104036718_2023-07-14T21:00:00+00:00,46.0,2023-07-14T21:00:00+00:00
100036718-104036718,100036718-104036718_2023-07-14T23:00:00+00:00,72.0,2023-07-14T23:00:00+00:00
100036719-104036719,100036719-104036719_2023-07-14T00:00:00+00:00,15.0,2023-07-14T00:00:00+00:00
100036719-104036719,100036719-104036719_2023-07-14T03:00:00+00:00,3.0,2023-07-14T03:00:00+00:00
100036719-104036719,100036719-104036719_2023-07-14T05:00:00+00:00,4.0,2023-07-14T05:00:00+00:00
100036719-104036719,100036719-104036719_2023-07-14T07:00:00+00:00,12.0,2023-07-14T07:00:00+00:00
100036719-104036719,100036719-104036719_2023-07-14T09:00:00+00:00,15.0,2023-07-14T09:00:00+00:00
100036719-104036719,100036719-104036719_2023-07-14T13:00:00+00:00,60.0,2023-07-14T13:00:00+00:00
100036719-104036719,100036719-104036719_2023-07-14T16:00:00+00:00,52.0,2023-07-14T16:00:00+00:00
100036719-104036719,100036719-104036719_2023-07-14T17:00:00+00:00,50.0,2023-07-14T17:00:00+00:00
100036719-104036719,100036719-104036719_2023-07-14T18:00:00+00:00,35.0,2023-07-14T18:00:00+00:00
