nom_compteur,id,name,channel_id,installation_date,latitud,longitud
147 avenue d'Italie S-N,100056041,avenue d'Italie,101056041,2019-12-10,48.82009,2.3588
33 avenue des Champs Elysées NO-SE,100056042,avenue des Champs Elysées,101056042,2019-10-30,48.86999,2.30722
132 rue Lecourbe NE-SO,100056044,rue Lecourbe,101056044,2019-10-30,48.84209,2.30115
Pont de la Concorde N-S,100056045,Pont de la Concorde,101056045,2019-11-08,48.86373,2.31973
Pont des Invalides S-N,100056046,Pont des Invalides,101056046,2019-11-06,48.86279,2.31055
Pont de la Concorde S-N,100056047,Pont de la Concorde,101056047,2019-11-08,48.86382,2.32006
Pont des Invalides N-S,100056223,Pont des Invalides,101056223,2019-11-07,48.86281,2.31037
3 avenue de la Porte D'Orléans (gare routière) S-N,100056225,avenue de la Porte D'Orléans,101056225,2019-11-06,48.82108,2.32537
Face au 8 avenue de la porte de Charenton SE-NO,100056226,avenue de la porte de Charenton,103056226,2019-11-01,48.830331,2.400551
Face au 8 avenue de la porte de Charenton NO-SE,100056226,avenue de la porte de Charenton,104056226,2019-11-01,48.830331,2.400551
Face au 4 avenue de la porte de Bagnolet E-O,100056327,avenue de la porte de Bagnolet,103056327,2019-11-06,48.86485,2.40966
Face au 4 avenue de la porte de Bagnolet O-E,100056327,avenue de la porte de Bagnolet,104056327,2019-11-06,48.86485,2.40966
Pont Charles De Gaulle SO-NE,100056329,Pont Charles De Gaulle,103056329,2019-12-12,48.84223,2.36811
Pont Charles De Gaulle NE-SO,100056329,Pont Charles De Gaulle,104056329,2019-12-12,48.84223,2.36811
36 quai de Grenelle SO-NE,100056330,quai de Grenelle,103056330,2019-11-14,48.85174,2.28593
36 quai de Grenelle NE-SO,100056330,quai de Grenelle,104056330,2019-11-14,48.85174,2.28593
Face au 40 quai D'Issy SO-NE,100056331,quai D'Issy,103056331,2019-11-05,48.83428,2.26526
Face au 40 quai D'Issy NE-SO,100056331,quai D'Issy,104056331,2019-11-05,48.83428,2.26526
Pont de Bercy NE-SO,100056332,Pont de Bercy,103056332,2019-12-11,48.83848,2.37587
Pont de Bercy SO-NE,100056332,Pont de Bercy,104056332,2019-12-11,48.83848,2.37587
38 rue Turbigo NE-SO,100056334,rue Turbigo,103056334,2019-12-10,48.86502,2.35387
38 rue Turbigo SO-NE,100056334,rue Turbigo,104056334,2019-12-10,48.86502,2.35387
Quai d'Orsay O-E,100056335,Quai d'Orsay,103056335,2019-11-07,48.8629,2.3118
Quai d'Orsay E-O,100056335,Quai d'Orsay,104056335,2019-11-07,48.8629,2.3118
27 quai de la Tournelle SE-NO,100056336,quai de la Tournelle,105056336,2019-11-14,48.85013,2.35423
27 quai de la Tournelle NO-SE,100056336,quai de la Tournelle,106056336,2019-11-14,48.85013,2.35423
Totem 85 quai d'Austerlitz SE-NO,100057329,quai d'Austerlitz,103057329,2020-02-18,48.84201,2.36729
Totem 85 quai d'Austerlitz NO-SE,100057329,quai d'Austerlitz,104057329,2020-02-18,48.84201,2.36729
Totem Cours la Reine O-E,100057380,Cours la Reine,103057380,2020-02-11,48.86462,2.31444
Totem Cours la Reine E-O,100057380,Cours la Reine,104057380,2020-02-11,48.86462,2.31444
Totem 73 boulevard de Sébastopol N-S,100057445,boulevard de Sébastopol,103057445,2020-02-11,48.86377,2.35096
Totem 73 boulevard de Sébastopol S-N,100057445,boulevard de Sébastopol,104057445,2020-02-11,48.86377,2.35096
21 boulevard Saint Michel S-N,100060174,boulevard Saint Michel,101060174,2020-05-20,48.851525,2.343298
30 rue Saint Jacques (temporaire) N-S,100060175,rue Saint Jacques,101060175,2020-05-20,48.851131,2.345678
90 Rue De Sèvres SO-NE,100060178,Rue De Sèvres,101060178,2020-07-22,48.84641,2.31524
90 Rue De Sèvres NE-SO,100060178,Rue De Sèvres,102060178,2020-07-22,48.84641,2.31524
74 Boulevard Ornano S-N,100063173,Boulevard Ornano,101063173,2020-07-22,48.896825,2.345648
69 Boulevard Ornano (temporaire) N-S,100063174,Boulevard Ornano,101063174,2020-07-22,48.89696,2.34538
20 Avenue de Clichy NO-SE,100063175,Avenue de Clichy,353277233,2020-07-22,48.88529,2.32666
20 Avenue de Clichy SE-NO,100063175,Avenue de Clichy,353277235,2020-07-22,48.88529,2.32666
35 boulevard de Ménilmontant NO-SE,100065336,boulevard de Ménilmontant,104065336,2020-11-18,48.860528,2.388364
254 rue de Vaugirard SO-NE,300014702,rue de Vaugirard,353245971,2020-11-29,48.83985,2.30202
254 rue de Vaugirard NE-SO,300014702,rue de Vaugirard,353245972,2020-11-29,48.83985,2.30202
30 rue Saint Jacques N-S,300021312,rue Saint Jacques,353293580,2021-11-30,48.851131,2.345678
69 Boulevard Ornano N-S,300021320,Boulevard Ornano,353293614,2021-11-30,48.89683,2.34521
24 boulevard Jourdan E-O,300030116,boulevard Jourdan,353354957,2023-01-24,48.82029,2.33936
9 boulevard Jourdan O-E,300030120,boulevard Jourdan,353354985,2023-01-24,48.81964,2.34173
72 boulevard Brune NO-SE,300030121,boulevard Brune,353354988,2023-01-24,48.82561,2.314274
56 boulevard Kellermann E-O,300030139,boulevard Kellermann,353355137,2023-01-25,48.820988,2.350291
163 boulevard Brune SE-NO,300030160,boulevard Brune,353355230,2023-01-25,48.824237,2.321219
27 boulevard Davout N-S,300030163,boulevard Davout,353355237,2023-01-25,48.84935,2.41143
42 boulevard Soult S-N,300030172,boulevard Soult,353355277,2023-01-26,48.840211,2.409219
42 boulevard Soult N-S,300030172,boulevard Soult,353355278,2023-01-26,48.840211,2.409219
77 boulevard Masséna SO-NE,300030173,boulevard Masséna,353355291,2023-01-26,48.821204,2.368576
77 boulevard Masséna NE-SO,300030173,boulevard Masséna,353355292,2023-01-26,48.821204,2.368576
81 boulevard Mortier N-S,300030219,boulevard Mortier,353355786,2023-01-31,48.86922,2.408714
81 boulevard Mortier S-N,300030219,boulevard Mortier,353355787,2023-01-31,48.86922,2.408714
98 boulevard Poniatowski SO-NE,300030250,boulevard Poniatowski,353355931,2023-02-01,48.834624,2.405283
98 boulevard Poniatowski NE-SO,300030250,boulevard Poniatowski,353355932,2023-02-01,48.834624,2.405283
Face au 49 boulevard du Général Martial Valin NO-SE,300030271,boulevard du Général Martial Valin,353356061,2023-02-02,48.837055,2.274019
51 boulevard du Général Martial Valin SE-NO,300030279,boulevard du Général Martial Valin,353356112,2023-02-02,48.837006,2.274824
62 boulevard Ney E-O,300030826,boulevard Ney,353360275,2023-03-07,48.898707,2.357417
16 avenue de la Porte de Bagnolet E-O,300030838,avenue de la Porte de Bagnolet,353360366,2023-03-07,48.86495,2.4112
16 avenue de la Porte de Bagnolet O-E,300030838,avenue de la Porte de Bagnolet,353360367,2023-03-07,48.86495,2.4112
46 boulevard Davout S-N,300030871,boulevard Davout,353360668,2023-03-08,48.851032,2.411119
124 boulevard MacDonald E-O,300030908,boulevard MacDonald,353360976,2023-03-09,48.898946,2.380721
51 boulevard Masséna SO-NE,300030921,boulevard Masséna,353361113,2023-03-08,48.82282,2.37258
5 boulevard Victor SE-NO,300030922,boulevard Victor,353361114,2023-03-08,48.83537,2.28148
86 boulevard du Général Jean Simon NE-SO,300030926,boulevard du Général Jean Simon,353361125,2023-03-09,48.8244,2.37728
Face au 84 boulevard Ney O-E,300030960,boulevard Ney,353361420,2023-03-15,48.898728,2.349385
173 boulevard MacDonald O-E,300030967,boulevard MacDonald,353361487,2023-03-15,48.898612,2.37602
Face au 21 boulevard de Ménilmontant SE-NO,300030996,boulevard de Ménilmontant,353361762,2023-03-14,48.85976,2.38884
8 boulevard d'Indochine S-N,300030997,boulevard d'Indochine,353361763,2023-03-14,48.88462,2.39683
8 boulevard d'Indochine N-S,300030997,boulevard d'Indochine,353361764,2023-03-14,48.88462,2.39683
