nom_compteur,id,name,channel_id,installation_date,latitud,longitud
97 avenue Denfert Rochereau SO-NE,100003096,avenue Denfert Rochereau,353242251,2012-02-22,48.83504,2.33314
105 rue La Fayette E-O,100003097,rue La Fayette,101003097,2012-02-13,48.87773,2.3506
106 avenue Denfert Rochereau NE-SO,100003098,avenue Denfert Rochereau,101003098,2012-02-22,48.83505,2.33333
100 rue La Fayette O-E,100003099,rue La Fayette,353242239,2012-02-22,48.87813,2.3497
135 avenue Daumesnil SE-NO,100006300,avenue Daumesnil,101006300,2013-01-19,48.843435,2.383378
28 boulevard Diderot O-E,100007049,boulevard Diderot,101007049,2013-01-18,48.84613,2.37559
28 boulevard Diderot E-O,100007049,boulevard Diderot,102007049,2013-01-18,48.84613,2.37559
39 quai François Mauriac SE-NO,100036718,quai François Mauriac,103036718,2017-07-12,48.83436,2.377
39 quai François Mauriac NO-SE,100036718,quai François Mauriac,104036718,2017-07-12,48.83436,2.377
18 quai de l'Hôtel de Ville SE-NO,100036719,quai de l'Hôtel de Ville,103036719,2017-07-12,48.85372,2.35702
18 quai de l'Hôtel de Ville NO-SE,100036719,quai de l'Hôtel de Ville,104036719,2017-07-12,48.85372,2.35702
27 boulevard Diderot E-O,100041488,boulevard Diderot,101041488,2013-01-17,48.846099,2.375456
Voie Georges Pompidou SO-NE,100042374,Voie Georges Pompidou,109042374,2017-12-15,48.84837,2.27596
Voie Georges Pompidou NE-SO,100042374,Voie Georges Pompidou,110042374,2017-12-15,48.84837,2.27596
67 boulevard Voltaire SE-NO,100044493,boulevard Voltaire,101044493,2018-06-27,48.86149,2.37376
10 avenue de la Grande Armée SE-NO,100044494,avenue de la Grande Armée,101044494,2018-07-27,48.8748,2.2924
7 avenue de la Grande Armée NO-SE,100044495,avenue de la Grande Armée,101044495,2018-07-27,48.87474,2.29219
72 boulevard Voltaire NO-SE,100044506,boulevard Voltaire,101044506,2018-06-27,48.86155,2.37407
89 boulevard de Magenta NO-SE,100047533,boulevard de Magenta,101047533,2018-11-28,48.87756,2.35535
16 avenue de la Porte des Ternes E-O,100047534,avenue de la Porte des Ternes,101047534,2018-11-29,48.88156,2.28122
Pont du Garigliano NO-SE,100047535,Pont du Garigliano,101047535,2018-11-28,48.83994,2.26692
102 boulevard de Magenta SE-NO,100047536,boulevard de Magenta,101047536,2018-11-29,48.87769,2.35475
26 boulevard de Ménilmontant SE-NO,100047537,boulevard de Ménilmontant,101047537,2018-11-30,48.86057,2.38886
Face au 16 avenue de la  Porte des Ternes O-E,100047538,avenue de la  Porte des Ternes,101047538,2018-11-28,48.88168,2.28113
21 boulevard Auguste Blanqui SO-NE,100047539,boulevard Auguste Blanqui,101047539,2018-12-05,48.83074,2.35373
72 boulevard Richard Lenoir S-N,100047540,boulevard Richard Lenoir,101047540,2018-12-05,48.86077,2.37305
Pont National SO-NE,100047541,Pont National,353326452,2018-12-05,48.82639,2.38448
Face au 48 quai de la marne NE-SO,100047542,quai de la marne,103047542,2018-11-29,48.89172,2.38531
Face au 48 quai de la marne SO-NE,100047542,quai de la marne,104047542,2018-11-29,48.89172,2.38531
77 boulevard Richard Lenoir N-S,100047544,boulevard Richard Lenoir,101047544,2018-12-05,48.860852,2.372279
Face 104 rue d'Aubervilliers N-S,100047545,rue d'Aubervilliers,103047545,2018-11-29,48.890457,2.368852
Face 104 rue d'Aubervilliers S-N,100047545,rue d'Aubervilliers,104047545,2018-11-29,48.890457,2.368852
Face au 70 quai de Bercy S-N,100047546,quai de Bercy,103047546,2018-11-30,48.829523,2.38699
Face au 70 quai de Bercy N-S,100047546,quai de Bercy,104047546,2018-11-30,48.829523,2.38699
6 rue Julia Bartet SO-NE,100047547,rue Julia Bartet,103047547,2018-11-28,48.82624,2.30281
6 rue Julia Bartet NE-SO,100047547,rue Julia Bartet,104047547,2018-11-28,48.82624,2.30281
Face au 25 quai de l'Oise NE-SO,100047548,quai de l'Oise,103047548,2018-11-28,48.89141,2.38482
Face au 25 quai de l'Oise SO-NE,100047548,quai de l'Oise,104047548,2018-11-28,48.89141,2.38482
Pont National NE-SO,100047549,Pont National,101047549,2018-12-05,48.82682,2.38491
Pont du Garigliano SE-NO,100047551,Pont du Garigliano,102047551,2018-12-01,48.83992,2.26708
152 boulevard du Montparnasse O-E,100049407,boulevard du Montparnasse,353255859,2018-12-07,48.84017,2.33438
152 boulevard du Montparnasse E-O,100049407,boulevard du Montparnasse,353255860,2018-12-07,48.84017,2.33438
10 boulevard Auguste Blanqui NE-SO,100049408,boulevard Auguste Blanqui,101049408,2018-12-06,48.83082,2.35317
243 boulevard Saint Germain NO-SE,100050132,boulevard Saint Germain,101050132,2018-12-13,48.86179,2.32014
Totem 64 Rue de Rivoli E-O,100050876,Rue de Rivoli,103050876,2019-09-04,48.85735,2.35211
Totem 64 Rue de Rivoli O-E,100050876,Rue de Rivoli,104050876,2019-09-04,48.85735,2.35211
87 avenue de Flandre NE-SO,100056032,avenue de Flandre,101056032,2019-11-05,48.88926,2.37472
72 avenue de Flandre SO-NE,100056034,avenue de Flandre,101056034,2019-11-13,48.889046,2.374872
Quai des Tuileries SE-NO,100056035,Quai des Tuileries,353266460,2021-05-18,48.8635,2.32239
Quai des Tuileries NO-SE,100056035,Quai des Tuileries,353266462,2021-05-18,48.8635,2.32239
2 avenue de la Porte de Bagnolet O-E,100056036,avenue de la Porte de Bagnolet,101056036,2019-11-14,48.86451,2.40932
44 avenue des Champs Elysées SE-NO,100056038,avenue des Champs Elysées,101056038,2019-10-30,48.86999,2.30743
180 avenue d'Italie N-S,100056039,avenue d'Italie,101056039,2019-12-11,48.82048,2.35873
129 rue Lecourbe SO-NE,100056040,rue Lecourbe,101056040,2019-10-30,48.84222,2.30102
