id_computeur;nom_compteur;name;sum_counts;date;installation_date;latitude;longitude;counter;street;
100041488-101041488;27 boulevard Diderot E-O;27 boulevard Diderot;4.0;2023-04-05T01:00:00+00:00;2013-01-17;48.846099;2.375456;Y2H20124971;boulevard Diderot;
100041488-101041488;27 boulevard Diderot E-O;27 boulevard Diderot;85.0;2023-04-05T09:00:00+00:00;2013-01-17;48.846099;2.375456;Y2H20124971;boulevard Diderot;
100041488-101041488;27 boulevard Diderot E-O;27 boulevard Diderot;162.0;2023-04-05T16:00:00+00:00;2013-01-17;48.846099;2.375456;Y2H20124971;boulevard Diderot;
100041488-101041488;27 boulevard Diderot E-O;27 boulevard Diderot;92.0;2023-04-05T18:00:00+00:00;2013-01-17;48.846099;2.375456;Y2H20124971;boulevard Diderot;
100042374-110042374;Voie Georges Pompidou NE-SO;Voie Georges Pompidou;1.0;2023-04-05T01:00:00+00:00;2017-12-15;48.84837;2.27596;Y2H21025335;Voie Georges Pompidou;
100042374-110042374;Voie Georges Pompidou NE-SO;Voie Georges Pompidou;0.0;2023-04-05T02:00:00+00:00;2017-12-15;48.84837;2.27596;Y2H21025335;Voie Georges Pompidou;
100042374-110042374;Voie Georges Pompidou NE-SO;Voie Georges Pompidou;0.0;2023-04-05T03:00:00+00:00;2017-12-15;48.84837;2.27596;Y2H21025335;Voie Georges Pompidou;
100042374-110042374;Voie Georges Pompidou NE-SO;Voie Georges Pompidou;7.0;2023-04-05T04:00:00+00:00;2017-12-15;48.84837;2.27596;Y2H21025335;Voie Georges Pompidou;
100042374-110042374;Voie Georges Pompidou NE-SO;Voie Georges Pompidou;26.0;2023-04-05T05:00:00+00:00;2017-12-15;48.84837;2.27596;Y2H21025335;Voie Georges Pompidou;
100042374-110042374;Voie Georges Pompidou NE-SO;Voie Georges Pompidou;139.0;2023-04-05T06:00:00+00:00;2017-12-15;48.84837;2.27596;Y2H21025335;Voie Georges Pompidou;
100042374-110042374;Voie Georges Pompidou NE-SO;Voie Georges Pompidou;177.0;2023-04-05T07:00:00+00:00;2017-12-15;48.84837;2.27596;Y2H21025335;Voie Georges Pompidou;
100042374-110042374;Voie Georges Pompidou NE-SO;Voie Georges Pompidou;45.0;2023-04-05T11:00:00+00:00;2017-12-15;48.84837;2.27596;Y2H21025335;Voie Georges Pompidou;
