id_compteur;nom_compteur;id;name;channel_id;channel_name;installation_date;url_photos_n1;counter;coordinates;photos;test_lien_vers_photos_du_site_de_comptage_;id_photo_1;url_sites;type_dimage
100003096-353242251;97 avenue Denfert Rochereau SO-NE;100003096;97 avenue Denfert Rochereau;353242251;SO-NE;2012-02-22;https://filer.eco-counter-tools.com/file/51/8c9a267316dba09ef0d3f3a3291f96b5236120d92040a9e8687dd5f9609b1251/X2H20012081_20210810112520.jpg;X2H20012081;48.83504,2.33314;https://filer.eco-counter-tools.com/file/51/8c9a267316dba09ef0d3f3a3291f96b5236120d92040a9e8687dd5f9609b1251/X2H20012081_20210810112520.jpg/https://filer.eco-counter-tools.com/file/b8/c95fed1d9289997266825d2801f1fbbf9a146c281f40dc67eb78fd3c156b56b8/X2H20012081_20210721152827.jpg/https://filer.eco-counter-tools.com/file/dd/f38bcda32a66162075037bfc8545e08dd57c2e1018df07d572b21d3058ada5dd/Y2111121725_20200818123410.jpg/https://filer.eco-counter-tools.com/file/10/6d3f2edfe0035eaeac2615c5f2c0b5764e9fc678430dd81f7893c4a245470110/15765766519670.jpg/https://filer.eco-counter-tools.com/file/24/39215cfc57d516ab1654e47d97a8322b75df99bf4fef4f33a9378cd8b0e9d924/15977468744640.jpg/https://filer.eco-counter-tools.com/file/4b/d979c5bf4d8795f50b263205296a95a703c6832bd82429b4a55ab4a04df6bf4b/X2H20012081_20220803101631.jpg;https://filer.eco-counter-tools.com/file/51/8c9a267316dba09ef0d3f3a3291f96b5236120d92040a9e8687dd5f9609b1251/X2H20012081_20210810112520.jpg;https:;https://www.eco-visio.net/Photos/100003096;jpg
100003097-101003097;105 rue La Fayette E-O;100003097;105 rue La Fayette;101003097;E-O;2012-02-13;https://filer.eco-counter-tools.com/file/fb/bdbed9c19a1427089cd951893f252c5eb961b92f6d7321e83d1347a089b687fb/Q15G5037467_20210824141241.jpg;;48.87773,2.3506;https://filer.eco-counter-tools.com/file/fb/bdbed9c19a1427089cd951893f252c5eb961b92f6d7321e83d1347a089b687fb/Q15G5037467_20210824141241.jpg/https://filer.eco-counter-tools.com/file/68/9650354d09a0fcff58ef31b2d8279e7c335dc014659c68a392523406e62d6f68/Q15G5037467_20210811135912.jpg/https://filer.eco-counter-tools.com/file/0f/52c5654ce2fbc1fd743f60baa599fb356eb4c5c14d0ac2d60014b2b263aa880f/Y2H21100756_20211019134520.jpg/https://filer.eco-counter-tools.com/file/23/32e30d253ae92b0a13d6cc30962f6ea259759be8a8e6d00568418ae4a8814d23/15765755175990.jpg;https://filer.eco-counter-tools.com/file/fb/bdbed9c19a1427089cd951893f252c5eb961b92f6d7321e83d1347a089b687fb/Q15G5037467_20210824141241.jpg;https:;https://www.eco-visio.net/Photos/100003097;jpg
100003098-101003098;106 avenue Denfert Rochereau NE-SO;100003098;106 avenue Denfert Rochereau;101003098;NE-SO;2012-02-22;https://filer.eco-counter-tools.com/file/ad/53597f9018bb78ed4018cccaf73e0d792319673f5297297e72b624b221788cad/13305145395420.jpg;Y2H16029278;48.83505,2.33333;https://filer.eco-counter-tools.com/file/ad/53597f9018bb78ed4018cccaf73e0d792319673f5297297e72b624b221788cad/13305145395420.jpg/https://filer.eco-counter-tools.com/file/1e/766b4ae7bba5ee2e4e87b5ed3990964e393647406bf7169c7b948612c014911e/15977456895210.jpg/https://filer.eco-counter-tools.com/file/96/cf95805b6c2fba4a722174ed6d93acf65a2503bbf41ad417508b20e10ebb6496/Y2H16029278_20220803102622.jpg/https://filer.eco-counter-tools.com/file/09/73f38aaf49fa85ee19ee67277787a24af6b31b497e0fbf06bf2970b4449a0409/Y2H16029278_20200818121425.jpg/https://filer.eco-counter-tools.com/file/bd/ae1f16033631d0af335022b99f8d2de3e823a970d8b4ae1cc349b2339a6bd2bd/Y2H16029278_20210810113212.jpg;https://filer.eco-counter-tools.com/file/ad/53597f9018bb78ed4018cccaf73e0d792319673f5297297e72b624b221788cad/13305145395420.jpg;https:;https://www.eco-visio.net/Photos/100003098;jpg
100003099-353242239;100 rue La Fayette O-E;100003099;100 rue La Fayette;353242239;O-E;2012-02-22;https://filer.eco-counter-tools.com/file/4e/6cc81a308c3492c1ef051cae7b7f960f8bd564a7cb1de3eef5bcf0bc3c80e84e/Y2111121727_20210811134729.jpg;;48.87813,2.3497;https://filer.eco-counter-tools.com/file/4e/6cc81a308c3492c1ef051cae7b7f960f8bd564a7cb1de3eef5bcf0bc3c80e84e/Y2111121727_20210811134729.jpg/https://filer.eco-counter-tools.com/file/7f/460a3a17ae617f660ad74962e96c796361b2f78c773920f318b63366c7c84f7f/Y2H21100755_20211019140204.jpg/https://filer.eco-counter-tools.com/file/cb/e5f8d6dda3ff1225c5dafadfdb3178ea46c00856a1fddb53aa3009759aa8d7cb/13305145634060.jpg;https://filer.eco-counter-tools.com/file/4e/6cc81a308c3492c1ef051cae7b7f960f8bd564a7cb1de3eef5bcf0bc3c80e84e/Y2111121727_20210811134729.jpg;https:;https://www.eco-visio.net/Photos/100003099;jpg
100006300-101006300;135 avenue Daumesnil SE-NO;100006300;135 avenue Daumesnil;101006300;SE-NO;2013-01-19;https://filer.eco-counter-tools.com/file/4c/44ca3caef446f2d0daf95d1d603651d16f794169bfb14df76d2afc8daac93b4c/X2H18086316_20211004180732.jpg;X2H18086316;48.843435,2.383378;https://filer.eco-counter-tools.com/file/4c/44ca3caef446f2d0daf95d1d603651d16f794169bfb14df76d2afc8daac93b4c/X2H18086316_20211004180732.jpg/https://filer.eco-counter-tools.com/file/33/72900abae7cbd8648f613c39f98f2766804530fc2fd9004fcca1ac282a9b5c33/X2H18086316_20220803114717.jpg/https://filer.eco-counter-tools.com/file/97/3f31a803a3d2e6dc1b985b032528ea836d3e53685058af9f542c006a7de4a197/15765762690330.jpg/https://filer.eco-counter-tools.com/file/e1/6ef39ee97d7f723c14b8fe9ec91840266b3f3add70e0a817bafd66adc553c9e1/15809064565060.jpg;https://filer.eco-counter-tools.com/file/4c/44ca3caef446f2d0daf95d1d603651d16f794169bfb14df76d2afc8daac93b4c/X2H18086316_20211004180732.jpg;https:;https://www.eco-visio.net/Photos/100006300;jpg
100007049-101007049;28 boulevard Diderot O-E;100007049;28 boulevard Diderot;101007049;O-E;2013-01-18;https://filer.eco-counter-tools.com/file/9b/531a0daddb4be5433a86cb09dc36f92b25c7bd4ea5c93c7c3146181d9625539b/13585075886520.jpg;Y2H21015011;48.84613,2.37559;https://filer.eco-counter-tools.com/file/9b/531a0daddb4be5433a86cb09dc36f92b25c7bd4ea5c93c7c3146181d9625539b/13585075886520.jpg/https://filer.eco-counter-tools.com/file/d0/5539296cbf2bbb9fb37428bdb5bd6fe499ea5843de9de9605700c783eaa879d0/Y2H21015011_20220407110305.jpg/https://filer.eco-counter-tools.com/file/4a/2e6127480864e11e9bd152969a114c01c26ea9434bdd7813bc618f511a21b04a/Y2H21015011_20220407110543.jpg/https://filer.eco-counter-tools.com/file/f7/4f2f37a5b343c214e4cc32c80e8de78de6afb907af12505592b2bd2f190671f7/Y2H21015011_20220725182819.jpg;https://filer.eco-counter-tools.com/file/9b/531a0daddb4be5433a86cb09dc36f92b25c7bd4ea5c93c7c3146181d9625539b/13585075886520.jpg;https:;https://www.eco-visio.net/Photos/100007049;jpg
100007049-102007049;28 boulevard Diderot E-O;100007049;28 boulevard Diderot;102007049;E-O;2013-01-18;https://filer.eco-counter-tools.com/file/9b/531a0daddb4be5433a86cb09dc36f92b25c7bd4ea5c93c7c3146181d9625539b/13585075886520.jpg;Y2H21015011;48.84613,2.37559;https://filer.eco-counter-tools.com/file/9b/531a0daddb4be5433a86cb09dc36f92b25c7bd4ea5c93c7c3146181d9625539b/13585075886520.jpg/https://filer.eco-counter-tools.com/file/d0/5539296cbf2bbb9fb37428bdb5bd6fe499ea5843de9de9605700c783eaa879d0/Y2H21015011_20220407110305.jpg/https://filer.eco-counter-tools.com/file/4a/2e6127480864e11e9bd152969a114c01c26ea9434bdd7813bc618f511a21b04a/Y2H21015011_20220407110543.jpg/https://filer.eco-counter-tools.com/file/f7/4f2f37a5b343c214e4cc32c80e8de78de6afb907af12505592b2bd2f190671f7/Y2H21015011_20220725182819.jpg;https://filer.eco-counter-tools.com/file/9b/531a0daddb4be5433a86cb09dc36f92b25c7bd4ea5c93c7c3146181d9625539b/13585075886520.jpg;https:;https://www.eco-visio.net/Photos/100007049;jpg
100036718-103036718;39 quai François Mauriac SE-NO;100036718;39 quai François Mauriac;103036718;SE-NO;2017-07-12;https://filer.eco-counter-tools.com/file/d4/e8110bccec80e42806d28ea2f102e3cf93875f3e8add5dfa4ea0672af45ee3d4/14997911465211.jpg;Y2H21015068;48.83436,2.377;https://filer.eco-counter-tools.com/file/d4/e8110bccec80e42806d28ea2f102e3cf93875f3e8add5dfa4ea0672af45ee3d4/14997911465211.jpg/https://filer.eco-counter-tools.com/file/85/6f1a65ada98e5b9c30af21c28ced81ae2d1a3a91d27f7a5ec23a04f8e64dd185/15374559754710.png/https://filer.eco-counter-tools.com/file/a3/eb19fabc6ac19ee165b9a3d367b75c23705c0bc2ef3c0b7b4950e921840633a3/15765770808100.jpg/https://filer.eco-counter-tools.com/file/9e/f997ab4793874f0832ae24c89ef2cafc87a78e90336527f7e9be38d0f4fec39e/15977626284870.jpg/https://filer.eco-counter-tools.com/file/d9/e055c4b719c875d6a250c8caf4ed5962c847d9d3b04251f053e86b5d088c2ad9/15767555313320.jpg/https://filer.eco-counter-tools.com/file/92/8dd0832756788947862701438d96ba9ac1f7524794109c2db14efa91a3e5bc92/Y2H21015068_20220803125012.jpg/https://filer.eco-counter-tools.com/file/89/a417e0e7a5a6a0be002e6b9f7f43b4db5eb3f1c15aa348294378f2b8d6cfa089/Y2H21015068_20220407102319.jpg/https://filer.eco-counter-tools.com/file/1b/6c9013a542a3c751f94c8b9a00db0ad3485054953a37aeddf45830482d5d311b/Y2H17021629_20200818165643.jpg/https://filer.eco-counter-tools.com/file/c3/3cc5746fc201948a4f89469db101780cf29dcc2c29e350f53351732871bfa5c3/Y2H17021629_20210810135800.jpg;https://filer.eco-counter-tools.com/file/d4/e8110bccec80e42806d28ea2f102e3cf93875f3e8add5dfa4ea0672af45ee3d4/14997911465211.jpg;https:;https://www.eco-visio.net/Photos/100036718;jpg
100036718-104036718;39 quai François Mauriac NO-SE;100036718;39 quai François Mauriac;104036718;NO-SE;2017-07-12;https://filer.eco-counter-tools.com/file/d4/e8110bccec80e42806d28ea2f102e3cf93875f3e8add5dfa4ea0672af45ee3d4/14997911465211.jpg;Y2H21015068;48.83436,2.377;https://filer.eco-counter-tools.com/file/d4/e8110bccec80e42806d28ea2f102e3cf93875f3e8add5dfa4ea0672af45ee3d4/14997911465211.jpg/https://filer.eco-counter-tools.com/file/85/6f1a65ada98e5b9c30af21c28ced81ae2d1a3a91d27f7a5ec23a04f8e64dd185/15374559754710.png/https://filer.eco-counter-tools.com/file/a3/eb19fabc6ac19ee165b9a3d367b75c23705c0bc2ef3c0b7b4950e921840633a3/15765770808100.jpg/https://filer.eco-counter-tools.com/file/9e/f997ab4793874f0832ae24c89ef2cafc87a78e90336527f7e9be38d0f4fec39e/15977626284870.jpg/https://filer.eco-counter-tools.com/file/d9/e055c4b719c875d6a250c8caf4ed5962c847d9d3b04251f053e86b5d088c2ad9/15767555313320.jpg/https://filer.eco-counter-tools.com/file/92/8dd0832756788947862701438d96ba9ac1f7524794109c2db14efa91a3e5bc92/Y2H21015068_20220803125012.jpg/https://filer.eco-counter-tools.com/file/89/a417e0e7a5a6a0be002e6b9f7f43b4db5eb3f1c15aa348294378f2b8d6cfa089/Y2H21015068_20220407102319.jpg/https://filer.eco-counter-tools.com/file/1b/6c9013a542a3c751f94c8b9a00db0ad3485054953a37aeddf45830482d5d311b/Y2H17021629_20200818165643.jpg/https://filer.eco-counter-tools.com/file/c3/3cc5746fc201948a4f89469db101780cf29dcc2c29e350f53351732871bfa5c3/Y2H17021629_20210810135800.jpg;https://filer.eco-counter-tools.com/file/d4/e8110bccec80e42806d28ea2f102e3cf93875f3e8add5dfa4ea0672af45ee3d4/14997911465211.jpg;https:;https://www.eco-visio.net/Photos/100036718;jpg
100036719-103036719;18 quai de l'Hôtel de Ville SE-NO;100036719;18 quai de l'Hôtel de Ville;103036719;SE-NO;2017-07-12;https://filer.eco-counter-tools.com/file/9d/176068e8b3503f6b68c846ec1741b3a744b56aede12fa81bfc29fa2c82f96d9d/X2H19027732_20190507110918.jpg;Y2H21015012;48.85372,2.35702;https://filer.eco-counter-tools.com/file/9d/176068e8b3503f6b68c846ec1741b3a744b56aede12fa81bfc29fa2c82f96d9d/X2H19027732_20190507110918.jpg/https://filer.eco-counter-tools.com/file/cd/d97fc859bef5a19d217f46db0a4ee144cfc19d12fe12a8f8f8d6d837dd05f3cd/Y2H19027732_20210810183209.jpg/https://filer.eco-counter-tools.com/file/cc/7ee37fd33279ac655cb94dac2f5cabe37169064be3d172305eee095aa8eb48cc/Y2H21015012_20220407113640.jpg/https://filer.eco-counter-tools.com/file/d7/030e39ece3b9677fd4ab1c1de4370b0613ad1c4cafd810f4b06b6489f8304cd7/Y2H21015012_20220803103347.jpg/https://filer.eco-counter-tools.com/file/db/b61f852e0d3afa4b9be0cdcfe0046cb3bb330efa17c3941fae25199cf2134fdb/14997911938171.jpg/https://filer.eco-counter-tools.com/file/bd/7b7d73a0893fc9813d303fa82a8aec6a2888b910e721b344fe519737bf51e1bd/14997911939232.jpg/https://filer.eco-counter-tools.com/file/31/7a51f8668baa67fe9fbc33f577ca62cffa13fab69148810676d42c23d007dc31/15374519009810.png/https://filer.eco-counter-tools.com/file/d0/1aba92aeca91f0ea6146e062f7994959da2ade84f8c5cded3b9f1e8424ea98d0/15718218590430.jpg;https://filer.eco-counter-tools.com/file/9d/176068e8b3503f6b68c846ec1741b3a744b56aede12fa81bfc29fa2c82f96d9d/X2H19027732_20190507110918.jpg;https:;https://www.eco-visio.net/Photos/100036719;jpg
