id_compteur,nom_compteur,street,channel_id,installation_date,latitude,longitude
100050876-103050876,Totem 64 Rue de Rivoli E-O,Rue de Rivoli,103050876,2019-09-04,48.85735,2.35211
100050876-104050876,Totem 64 Rue de Rivoli O-E,Rue de Rivoli,104050876,2019-09-04,48.85735,2.35211
100056032-101056032,87 avenue de Flandre NE-SO,avenue de Flandre,101056032,2019-11-05,48.88926,2.37472
100056034-101056034,72 avenue de Flandre SO-NE,avenue de Flandre,101056034,2019-11-13,48.889046,2.374872
100056035-353266460,Quai des Tuileries SE-NO,Quai des Tuileries,353266460,2021-05-18,48.8635,2.32239
100056035-353266462,Quai des Tuileries NO-SE,Quai des Tuileries,353266462,2021-05-18,48.8635,2.32239
100056036-101056036,2 avenue de la Porte de Bagnolet O-E,avenue de la Porte de Bagnolet,101056036,2019-11-14,48.86451,2.40932
100056038-101056038,44 avenue des Champs Elysées SE-NO,avenue des Champs Elysées,101056038,2019-10-30,48.86999,2.30743
100056039-101056039,180 avenue d'Italie N-S,avenue d'Italie,101056039,2019-12-11,48.82048,2.35873
100056040-101056040,129 rue Lecourbe SO-NE,rue Lecourbe,101056040,2019-10-30,48.84222,2.30102
100056041-101056041,147 avenue d'Italie S-N,avenue d'Italie,101056041,2019-12-10,48.82009,2.3588
100056042-101056042,33 avenue des Champs Elysées NO-SE,avenue des Champs Elysées,101056042,2019-10-30,48.86999,2.30722
100056044-101056044,132 rue Lecourbe NE-SO,rue Lecourbe,101056044,2019-10-30,48.84209,2.30115
100056045-101056045,Pont de la Concorde N-S,Pont de la Concorde,101056045,2019-11-08,48.86373,2.31973
100056046-101056046,Pont des Invalides S-N,Pont des Invalides,101056046,2019-11-06,48.86279,2.31055
100056047-101056047,Pont de la Concorde S-N,Pont de la Concorde,101056047,2019-11-08,48.86382,2.32006
100056223-101056223,Pont des Invalides N-S,Pont des Invalides,101056223,2019-11-07,48.86281,2.31037
100056225-101056225,3 avenue de la Porte D'Orléans (gare routière) S-N,avenue de la Porte D'Orléans,101056225,2019-11-06,48.82108,2.32537
100056226-103056226,Face au 8 avenue de la porte de Charenton SE-NO,avenue de la porte de Charenton,103056226,2019-11-01,48.830331,2.400551
100056226-104056226,Face au 8 avenue de la porte de Charenton NO-SE,avenue de la porte de Charenton,104056226,2019-11-01,48.830331,2.400551
100056327-103056327,Face au 4 avenue de la porte de Bagnolet E-O,avenue de la porte de Bagnolet,103056327,2019-11-06,48.86485,2.40966
100056327-104056327,Face au 4 avenue de la porte de Bagnolet O-E,avenue de la porte de Bagnolet,104056327,2019-11-06,48.86485,2.40966
100056329-103056329,Pont Charles De Gaulle SO-NE,Pont Charles De Gaulle,103056329,2019-12-12,48.84223,2.36811
100056329-104056329,Pont Charles De Gaulle NE-SO,Pont Charles De Gaulle,104056329,2019-12-12,48.84223,2.36811
100056330-103056330,36 quai de Grenelle SO-NE,quai de Grenelle,103056330,2019-11-14,48.85174,2.28593
100056330-104056330,36 quai de Grenelle NE-SO,quai de Grenelle,104056330,2019-11-14,48.85174,2.28593
100056331-103056331,Face au 40 quai D'Issy SO-NE,quai D'Issy,103056331,2019-11-05,48.83428,2.26526
100056331-104056331,Face au 40 quai D'Issy NE-SO,quai D'Issy,104056331,2019-11-05,48.83428,2.26526
100056332-103056332,Pont de Bercy NE-SO,Pont de Bercy,103056332,2019-12-11,48.83848,2.37587
100056332-104056332,Pont de Bercy SO-NE,Pont de Bercy,104056332,2019-12-11,48.83848,2.37587
100056334-103056334,38 rue Turbigo NE-SO,rue Turbigo,103056334,2019-12-10,48.86502,2.35387
100056334-104056334,38 rue Turbigo SO-NE,rue Turbigo,104056334,2019-12-10,48.86502,2.35387
100056335-103056335,Quai d'Orsay O-E,Quai d'Orsay,103056335,2019-11-07,48.8629,2.3118
100056335-104056335,Quai d'Orsay E-O,Quai d'Orsay,104056335,2019-11-07,48.8629,2.3118
100056336-105056336,27 quai de la Tournelle SE-NO,quai de la Tournelle,105056336,2019-11-14,48.85013,2.35423
100056336-106056336,27 quai de la Tournelle NO-SE,quai de la Tournelle,106056336,2019-11-14,48.85013,2.35423
100057329-103057329,Totem 85 quai d'Austerlitz SE-NO,quai d'Austerlitz,103057329,2020-02-18,48.84201,2.36729
100057329-104057329,Totem 85 quai d'Austerlitz NO-SE,quai d'Austerlitz,104057329,2020-02-18,48.84201,2.36729
100057380-103057380,Totem Cours la Reine O-E,Cours la Reine,103057380,2020-02-11,48.86462,2.31444
100057380-104057380,Totem Cours la Reine E-O,Cours la Reine,104057380,2020-02-11,48.86462,2.31444
100057445-103057445,Totem 73 boulevard de Sébastopol N-S,boulevard de Sébastopol,103057445,2020-02-11,48.86377,2.35096
100057445-104057445,Totem 73 boulevard de Sébastopol S-N,boulevard de Sébastopol,104057445,2020-02-11,48.86377,2.35096
100060174-101060174,21 boulevard Saint Michel S-N,boulevard Saint Michel,101060174,2020-05-20,48.851525,2.343298
100060175-101060175,30 rue Saint Jacques (temporaire) N-S,rue Saint Jacques,101060175,2020-05-20,48.851131,2.345678
100060178-101060178,90 Rue De Sèvres SO-NE,Rue De Sèvres,101060178,2020-07-22,48.84641,2.31524
100060178-102060178,90 Rue De Sèvres NE-SO,Rue De Sèvres,102060178,2020-07-22,48.84641,2.31524
100063173-101063173,74 Boulevard Ornano S-N,Boulevard Ornano,101063173,2020-07-22,48.896825,2.345648
100063174-101063174,69 Boulevard Ornano (temporaire) N-S,Boulevard Ornano,101063174,2020-07-22,48.89696,2.34538
100063175-353277233,20 Avenue de Clichy NO-SE,Avenue de Clichy,353277233,2020-07-22,48.88529,2.32666
100063175-353277235,20 Avenue de Clichy SE-NO,Avenue de Clichy,353277235,2020-07-22,48.88529,2.32666
100065336-104065336,35 boulevard de Ménilmontant NO-SE,boulevard de Ménilmontant,104065336,2020-11-18,48.860528,2.388364
300014702-353245971,254 rue de Vaugirard SO-NE,rue de Vaugirard,353245971,2020-11-29,48.83985,2.30202
300014702-353245972,254 rue de Vaugirard NE-SO,rue de Vaugirard,353245972,2020-11-29,48.83985,2.30202
300021312-353293580,30 rue Saint Jacques N-S,rue Saint Jacques,353293580,2021-11-30,48.851131,2.345678
300021320-353293614,69 Boulevard Ornano N-S,Boulevard Ornano,353293614,2021-11-30,48.89683,2.34521
300030116-353354957,24 boulevard Jourdan E-O,boulevard Jourdan,353354957,2023-01-24,48.82029,2.33936
300030120-353354985,9 boulevard Jourdan O-E,boulevard Jourdan,353354985,2023-01-24,48.81964,2.34173
300030121-353354988,72 boulevard Brune NO-SE,boulevard Brune,353354988,2023-01-24,48.82561,2.314274
300030139-353355137,56 boulevard Kellermann E-O,boulevard Kellermann,353355137,2023-01-25,48.820988,2.350291
300030160-353355230,163 boulevard Brune SE-NO,boulevard Brune,353355230,2023-01-25,48.824237,2.321219
300030163-353355237,27 boulevard Davout N-S,boulevard Davout,353355237,2023-01-25,48.84935,2.41143
300030172-353355277,42 boulevard Soult S-N,boulevard Soult,353355277,2023-01-26,48.840211,2.409219
300030172-353355278,42 boulevard Soult N-S,boulevard Soult,353355278,2023-01-26,48.840211,2.409219
300030173-353355291,77 boulevard Masséna SO-NE,boulevard Masséna,353355291,2023-01-26,48.821204,2.368576
300030173-353355292,77 boulevard Masséna NE-SO,boulevard Masséna,353355292,2023-01-26,48.821204,2.368576
300030219-353355786,81 boulevard Mortier N-S,boulevard Mortier,353355786,2023-01-31,48.86922,2.408714
300030219-353355787,81 boulevard Mortier S-N,boulevard Mortier,353355787,2023-01-31,48.86922,2.408714
300030250-353355931,98 boulevard Poniatowski SO-NE,boulevard Poniatowski,353355931,2023-02-01,48.834624,2.405283
300030250-353355932,98 boulevard Poniatowski NE-SO,boulevard Poniatowski,353355932,2023-02-01,48.834624,2.405283
300030271-353356061,Face au 49 boulevard du Général Martial Valin NO-SE,boulevard du Général Martial Valin,353356061,2023-02-02,48.837055,2.274019
300030279-353356112,51 boulevard du Général Martial Valin SE-NO,boulevard du Général Martial Valin,353356112,2023-02-02,48.837006,2.274824
300030826-353360275,62 boulevard Ney E-O,boulevard Ney,353360275,2023-03-07,48.898707,2.357417
300030838-353360366,16 avenue de la Porte de Bagnolet E-O,avenue de la Porte de Bagnolet,353360366,2023-03-07,48.86495,2.4112
300030838-353360367,16 avenue de la Porte de Bagnolet O-E,avenue de la Porte de Bagnolet,353360367,2023-03-07,48.86495,2.4112
300030871-353360668,46 boulevard Davout S-N,boulevard Davout,353360668,2023-03-08,48.851032,2.411119
300030908-353360976,124 boulevard MacDonald E-O,boulevard MacDonald,353360976,2023-03-09,48.898946,2.380721
300030921-353361113,51 boulevard Masséna SO-NE,boulevard Masséna,353361113,2023-03-08,48.82282,2.37258
300030922-353361114,5 boulevard Victor SE-NO,boulevard Victor,353361114,2023-03-08,48.83537,2.28148
300030926-353361125,86 boulevard du Général Jean Simon NE-SO,boulevard du Général Jean Simon,353361125,2023-03-09,48.8244,2.37728
300030960-353361420,Face au 84 boulevard Ney O-E,boulevard Ney,353361420,2023-03-15,48.898728,2.349385
300030967-353361487,173 boulevard MacDonald O-E,boulevard MacDonald,353361487,2023-03-15,48.898612,2.37602
300030996-353361762,Face au 21 boulevard de Ménilmontant SE-NO,boulevard de Ménilmontant,353361762,2023-03-14,48.85976,2.38884
300030997-353361763,8 boulevard d'Indochine S-N,boulevard d'Indochine,353361763,2023-03-14,48.88462,2.39683
300030997-353361764,8 boulevard d'Indochine N-S,boulevard d'Indochine,353361764,2023-03-14,48.88462,2.39683
