id_compteur,nom_compteur,street,channel_id,installation_date,latitude,longitude
100003096-353242251,97 avenue Denfert Rochereau SO-NE,avenue Denfert Rochereau,353242251,2012-02-22,48.83504,2.33314
100003097-101003097,105 rue La Fayette E-O,rue La Fayette,101003097,2012-02-13,48.87773,2.3506
100003098-101003098,106 avenue Denfert Rochereau NE-SO,avenue Denfert Rochereau,101003098,2012-02-22,48.83505,2.33333
100003099-353242239,100 rue La Fayette O-E,rue La Fayette,353242239,2012-02-22,48.87813,2.3497
100006300-101006300,135 avenue Daumesnil SE-NO,avenue Daumesnil,101006300,2013-01-19,48.843435,2.383378
100007049-101007049,28 boulevard Diderot O-E,boulevard Diderot,101007049,2013-01-18,48.84613,2.37559
100007049-102007049,28 boulevard Diderot E-O,boulevard Diderot,102007049,2013-01-18,48.84613,2.37559
100036718-103036718,39 quai François Mauriac SE-NO,quai François Mauriac,103036718,2017-07-12,48.83436,2.377
100036718-104036718,39 quai François Mauriac NO-SE,quai François Mauriac,104036718,2017-07-12,48.83436,2.377
100036719-103036719,18 quai de l'Hôtel de Ville SE-NO,quai de l'Hôtel de Ville,103036719,2017-07-12,48.85372,2.35702
100036719-104036719,18 quai de l'Hôtel de Ville NO-SE,quai de l'Hôtel de Ville,104036719,2017-07-12,48.85372,2.35702
100041488-101041488,27 boulevard Diderot E-O,boulevard Diderot,101041488,2013-01-17,48.846099,2.375456
100042374-109042374,Voie Georges Pompidou SO-NE,Voie Georges Pompidou,109042374,2017-12-15,48.84837,2.27596
100042374-110042374,Voie Georges Pompidou NE-SO,Voie Georges Pompidou,110042374,2017-12-15,48.84837,2.27596
100044493-101044493,67 boulevard Voltaire SE-NO,boulevard Voltaire,101044493,2018-06-27,48.86149,2.37376
100044494-101044494,10 avenue de la Grande Armée SE-NO,avenue de la Grande Armée,101044494,2018-07-27,48.8748,2.2924
100044495-101044495,7 avenue de la Grande Armée NO-SE,avenue de la Grande Armée,101044495,2018-07-27,48.87474,2.29219
100044506-101044506,72 boulevard Voltaire NO-SE,boulevard Voltaire,101044506,2018-06-27,48.86155,2.37407
100047533-101047533,89 boulevard de Magenta NO-SE,boulevard de Magenta,101047533,2018-11-28,48.87756,2.35535
100047534-101047534,16 avenue de la Porte des Ternes E-O,avenue de la Porte des Ternes,101047534,2018-11-29,48.88156,2.28122
100047535-101047535,Pont du Garigliano NO-SE,Pont du Garigliano,101047535,2018-11-28,48.83994,2.26692
100047536-101047536,102 boulevard de Magenta SE-NO,boulevard de Magenta,101047536,2018-11-29,48.87769,2.35475
100047537-101047537,26 boulevard de Ménilmontant SE-NO,boulevard de Ménilmontant,101047537,2018-11-30,48.86057,2.38886
100047538-101047538,Face au 16 avenue de la  Porte des Ternes O-E,avenue de la  Porte des Ternes,101047538,2018-11-28,48.88168,2.28113
100047539-101047539,21 boulevard Auguste Blanqui SO-NE,boulevard Auguste Blanqui,101047539,2018-12-05,48.83074,2.35373
100047540-101047540,72 boulevard Richard Lenoir S-N,boulevard Richard Lenoir,101047540,2018-12-05,48.86077,2.37305
100047541-353326452,Pont National SO-NE,Pont National,353326452,2018-12-05,48.82639,2.38448
100047542-103047542,Face au 48 quai de la marne NE-SO,quai de la marne,103047542,2018-11-29,48.89172,2.38531
100047542-104047542,Face au 48 quai de la marne SO-NE,quai de la marne,104047542,2018-11-29,48.89172,2.38531
100047544-101047544,77 boulevard Richard Lenoir N-S,boulevard Richard Lenoir,101047544,2018-12-05,48.860852,2.372279
100047545-103047545,Face 104 rue d'Aubervilliers N-S,rue d'Aubervilliers,103047545,2018-11-29,48.890457,2.368852
100047545-104047545,Face 104 rue d'Aubervilliers S-N,rue d'Aubervilliers,104047545,2018-11-29,48.890457,2.368852
100047546-103047546,Face au 70 quai de Bercy S-N,quai de Bercy,103047546,2018-11-30,48.829523,2.38699
100047546-104047546,Face au 70 quai de Bercy N-S,quai de Bercy,104047546,2018-11-30,48.829523,2.38699
100047547-103047547,6 rue Julia Bartet SO-NE,rue Julia Bartet,103047547,2018-11-28,48.82624,2.30281
100047547-104047547,6 rue Julia Bartet NE-SO,rue Julia Bartet,104047547,2018-11-28,48.82624,2.30281
100047548-103047548,Face au 25 quai de l'Oise NE-SO,quai de l'Oise,103047548,2018-11-28,48.89141,2.38482
100047548-104047548,Face au 25 quai de l'Oise SO-NE,quai de l'Oise,104047548,2018-11-28,48.89141,2.38482
100047549-101047549,Pont National NE-SO,Pont National,101047549,2018-12-05,48.82682,2.38491
100047551-102047551,Pont du Garigliano SE-NO,Pont du Garigliano,102047551,2018-12-01,48.83992,2.26708
100049407-353255859,152 boulevard du Montparnasse O-E,boulevard du Montparnasse,353255859,2018-12-07,48.84017,2.33438
100049407-353255860,152 boulevard du Montparnasse E-O,boulevard du Montparnasse,353255860,2018-12-07,48.84017,2.33438
100049408-101049408,10 boulevard Auguste Blanqui NE-SO,boulevard Auguste Blanqui,101049408,2018-12-06,48.83082,2.35317
100050132-101050132,243 boulevard Saint Germain NO-SE,boulevard Saint Germain,101050132,2018-12-13,48.86179,2.32014
