stationcode;name;capacity;coordonnees_geo
44015;Rouget de L'isle - Watteau;20;48.778192750803,2.3963020229163
21216;Louis Lejeune - Barbès;25;48.81807418981508,2.3267009854316716
13030;Italie - Tolbiac;21;48.82557229464416,2.3576171323657036
19027;Serrurier;18;48.8804934032465,2.39806417375803
18107;Chartres - La Charbonnière;34;48.8847601,2.3534657
14020;Cimetière de Montrouge;58;48.821466904768,2.3215785772007
18022;Marcadet - Barbès;37;48.890451120965,2.3490573929687
15109;Cevennes - Bergers;29;48.84240765130395,2.281037718057633
41404;Carnot - Pâquerettes;26;48.79592939432515,2.4261841177940373
25003;Henri Ste-Claire Déville - Paul Héroult;24;48.892663,2.172411
16038;Molitor - Chardon-Lagache;34;48.84520880183234,2.2656840831041336
16040;Exelmans - Michel-Ange;33;48.84309486651855,2.2597770800669053
9005;Square d'Anvers;33;48.882633484311,2.3448844062122
42015;Place Jean Ferrat;25;48.8184945213025,2.3744174838066106
17007;Navier - Epinettes;36;48.89587780769155,2.3226776719093327
31012;Place Carnot;25;48.85593932186797,2.441531717777252
31702;Pierre et Marie Curie - Julien Grimau;18;48.870714014863225,2.424097023904324
10015;Lucien Sampaix - Récollets;46;48.874330377560476,2.3621229082345963
9115;Milton - Manuel;22;48.878249,2.341181
35014;Charles de Gaulle - Jean Lolive;26;48.8932644350857,2.4126765131950383
21310;Kléber - Gouverneur Général Eboué;24;48.826885843069796,2.2723413258790965
20016;Pyrénées - Maraîchers;19;48.85714001395299,2.4043509364128113
6032;Sabot - Rennes;26;48.852575112948415,2.331552766263485
7013;Duroc - Place de Breteuil;42;48.847460641142,2.3126140236855
2001;Greneta - Sebastopol;32;48.865242333228,2.3516669869423
11019;Charonne - Philippe-Auguste;32;48.855603162026,2.39054639062
6014;Pont de Lodi - Dauphine;23;48.855296898603285,2.339947307565249
4109;Mornay - Sully;15;48.84970399548416,2.364460788667202
21952;Place Tony de Graaff;42;48.8181645,2.2458109
8029;Place du Canada;39;48.865346269362675,2.310193787964762
35004;Place du Président Salvador Allende;60;48.897307310356055,2.40079153681279
13020;Paul Klee - Place Augusta Holmes;43;48.838946417408025,2.3704235663952966
21028;Pierre Lefaucheux - Traversière;35;48.82435208303827,2.2417913004755974
13011;Hôpital - Campo-Formio;16;48.835405,2.358218
21204;Estienne d'Orves - Henri Ginoux;31;48.815388220397274,2.320886790760933
16011;Victor Hugo - La Pompe;41;48.86795222470859,2.28146318346262
