id_compteur,nom_compteur,id,name,channel_id,channel_name,installation_date,counter,latitud,longitud
300030838-353360366,16 avenue de la Porte de Bagnolet E-O,300030838,avenue de la Porte de Bagnolet,353360366,E-O,2023-03-07,Y2H19070360,48.86495,2.4112
300030838-353360367,16 avenue de la Porte de Bagnolet O-E,300030838,avenue de la Porte de Bagnolet,353360367,O-E,2023-03-07,Y2H19070360,48.86495,2.4112
300030871-353360668,46 boulevard Davout S-N,300030871,boulevard Davout,353360668,S-N,2023-03-08,Y2H21100755,48.851032,2.411119
300030908-353360976,124 boulevard MacDonald E-O,300030908,boulevard MacDonald,353360976,E-O,2023-03-09,Y2H21100756,48.898946,2.380721
300030921-353361113,51 boulevard Masséna SO-NE,300030921,boulevard Masséna,353361113,SO-NE,2023-03-08,Y2H19070340,48.82282,2.37258
300030922-353361114,5 boulevard Victor SE-NO,300030922,boulevard Victor,353361114,SE-NO,2023-03-08,Y2H19070362,48.83537,2.28148
300030926-353361125,86 boulevard du Général Jean Simon NE-SO,300030926,boulevard du Général Jean Simon,353361125,NE-SO,2023-03-09,Y2H19070366,48.8244,2.37728
300030960-353361420,Face au 84 boulevard Ney O-E,300030960,boulevard Ney,353361420,O-E,2023-03-15,Y2H22125310,48.898728,2.349385
300030967-353361487,173 boulevard MacDonald O-E,300030967,boulevard MacDonald,353361487,O-E,2023-03-15,Y2H22125315,48.898612,2.37602
300030996-353361762,Face au 21 boulevard de Ménilmontant SE-NO,300030996,boulevard de Ménilmontant,353361762,SE-NO,2023-03-14,Y2H19070363,48.85976,2.38884
300030997-353361763,8 boulevard d'Indochine S-N,300030997,boulevard d'Indochine,353361763,S-N,2023-03-14,Y2H22114922,48.88462,2.39683
300030997-353361764,8 boulevard d'Indochine N-S,300030997,boulevard d'Indochine,353361764,N-S,2023-03-14,Y2H22114922,48.88462,2.39683
