N_CATALOGO;PROTECCION_ACTUAL;PROTECCION_97;NOMBRE;C_HOMOGENEO;OBSERVACION;EXPEDIENTE;ENLACE;COD_NDP;UTMX_ETRS;UTMY_ETRS
1;Singular;Singular;Palacio Real;---;---;---;---;11000076.0;439475.03;4474317.27
2;Estructural;Estructural;---;---;---;---;---;11006389.0;439780.1;4475515.91
3;Estructural;Estructural;---;---;---;---;---;11006409.0;439797.65;4475496.24
4;Estructural;Estructural;---;---;---;---;---;20147571.0;439783.29;4475497.25
5;Singular;Singular;Nª Sra. de la Almudena;---;---;---;---;20003660.0;439373.7;4474091.23
11;Parcial;Parcial;---;---;---;---;---;11006464.0;439931.04;4475544.79
13;Ambiental;Ambiental;---;---;---;---;---;11006441.0;439827.98;4475534.01
17;Parcial;Parcial;---;---;---;---;---;11006436.0;439879.31;4475534.73
18;Parcial;Parcial;---;---;---;---;---;11006435.0;439891.31;4475534.92
22;Parcial;Parcial;---;---;---;---;---;11006404.0;439899.3;4475502.06
23;Parcial;Parcial;---;---;---;---;---;11006442.0;439883.6;4475501.12
25;Parcial;Parcial;---;---;---;---;---;11006406.0;439856.76;4475499.53
27;Estructural;Estructural;---;---;---;---;---;11006360.0;439818.4;4475518.69
28;Estructural;Estructural;---;---;---;---;---;11006236.0;440090.88;4475575.04
29;Estructural;Estructural;---;---;---;---;---;11006237.0;440088.9;4475566.39
30;Integral;Integral;---;---;---;---;---;11006217.0;440085.52;4475551.61
31;Parcial;Parcial;---;---;---;---;---;11006219.0;440061.29;4475547.28
32;Parcial;Parcial;---;---;---;---;---;11006220.0;440053.34;4475547.05
33;Parcial;Parcial;---;---;---;---;---;11006221.0;440046.55;4475546.87
34;Parcial;Parcial;---;---;---;---;---;11006222.0;440036.78;4475546.7
35;Parcial;Parcial;---;---;---;---;---;11006223.0;440028.17;4475546.53
36;Parcial;Parcial;---;---;---;---;---;11006224.0;440018.36;4475546.34
38;Ambiental;Ambiental;---;---;---;---;---;11006231.0;439974.56;4475545.64
39;Parcial;Parcial;---;---;---;---;---;11006232.0;439971.05;4475545.58
40;Parcial;Parcial;---;---;---;---;---;11006233.0;439956.99;4475545.36
41;Parcial;Parcial;---;---;---;---;---;11006230.0;439985.44;4475545.82
42;Parcial;Parcial;---;---;---;---;---;11006245.0;439956.3;4475535.01
43;Parcial;Parcial;---;---;---;---;---;11006238.0;439969.94;4475535.6
44;Parcial;Parcial;---;---;---;---;---;11006239.0;439976.13;4475535.82
45;Estructural;Estructural;---;---;---;---;---;11006240.0;439988.71;4475536.36
47;Parcial;Parcial;---;---;---;---;---;11006244.0;439970.61;4475506.31
48;Integral;Integral;---;---;---;---;---;11006246.0;439963.15;4475505.84
49;Estructural;Estructural;---;---;---;---;---;11006247.0;439951.79;4475505.11
50;Estructural;Estructural;---;---;---;---;---;11006250.0;440011.87;4475537.04
54;Estructural;Estructural;---;---;---;---;---;11005422.0;440136.01;4475593.63
55;Parcial;Parcial;---;---;---;---;---;11005423.0;440154.12;4475590.9
56;Parcial;Parcial;---;---;---;---;---;11005424.0;440160.39;4475589.95
58;Parcial;Parcial;---;---;---;---;---;11005426.0;440193.65;4475585.01
59;Parcial;Parcial;---;---;---;---;---;11005427.0;440199.06;4475548.8
60;Estructural;Estructural;---;---;---;---;---;11005428.0;440196.21;4475531.66
61;Estructural;Estructural;---;---;---;---;---;11005429.0;440194.45;4475521.02
62;Parcial;Parcial;---;---;---;---;---;11005430.0;440192.7;4475510.41
63;Estructural;Estructural;---;---;---;---;---;11005431.0;440181.11;4475493.74
64;Parcial;Parcial;---;---;---;---;---;11005432.0;440167.87;4475497.15
65;Parcial;Parcial;---;---;---;---;---;11005433.0;440157.84;4475499.74
67;Parcial;Parcial;---;---;---;---;---;11005416.0;440111.02;4475517.82
68;Integral;Integral;---;---;---;---;---;11005418.0;440114.57;4475536.81
69;Ambiental;Ambiental;---;---;---;---;---;11005418.0;440114.57;4475536.81
70;Parcial;Parcial;Casona residencial;---;---;---;---;11005419.0;440116.48;4475546.8
71;Parcial;Parcial;---;---;---;---;---;11005420.0;440120.1;4475565.77
72;Parcial;Parcial;---;---;---;---;---;11005421.0;440122.76;4475579.23
73;Parcial;Parcial;---;---;---;---;---;11005435.0;440228.55;4475579.51
74;Parcial;Parcial;---;---;---;---;---;11005436.0;440242.32;4475577.45
75;Parcial;Parcial;---;---;---;---;---;11005437.0;440251.01;4475576.07
76;Parcial;Parcial;---;---;---;---;---;11005438.0;440261.63;4475574.41
77;Parcial;Parcial;---;---;---;---;---;11005439.0;440271.21;4475572.93
78;Parcial;Parcial;---;---;---;---;---;11005440.0;440281.24;4475571.39
79;Parcial;Parcial;---;---;---;---;---;11005441.0;440294.84;4475558.52
80;Parcial;Parcial;---;---;---;---;---;11005442.0;440292.19;4475540.86
81;Integral;Integral;---;---;---;---;---;11005443.0;440289.35;4475520.16
82;Parcial;Parcial;---;---;---;---;---;11005444.0;440267.51;4475518.49
83;Parcial;Parcial;---;---;---;---;---;11005445.0;440256.33;4475520.49
84;Parcial;Parcial;---;---;---;---;---;11005446.0;440243.28;4475523.06
85;Parcial;Parcial;---;---;---;---;---;11005447.0;440227.35;4475525.59
86;Parcial;Parcial;---;---;---;---;---;11005448.0;440210.19;4475536.38
87;Parcial;Parcial;---;---;---;---;---;11005449.0;440213.3;4475555.6
88;Parcial;Parcial;---;---;---;---;---;11005350.0;440314.29;4475566.2
89;Parcial;Parcial;---;---;---;---;---;11005352.0;440329.09;4475554.85
90;Parcial;Parcial;çdificio vivienda colect.;---;---;---;---;11005354.0;440327.81;4475546.51
91;Estructural;Estructural;---;---;---;---;---;11005355.0;440325.62;4475532.06
93;Estructural;Estructural;---;---;---;---;---;11005357.0;440320.56;4475498.38
94;Parcial;Parcial;---;---;---;---;---;11005358.0;440318.07;4475481.32
95;Parcial;Parcial;---;---;---;---;---;11005359.0;440315.79;4475465.68
96;Parcial;Parcial;---;---;---;---;---;11005361.0;440297.67;4475463.97
97;Estructural;Estructural;---;---;---;---;---;20005866.0;440297.64;4475486.6
98;Estructural;Estructural;---;---;---;---;---;11005363.0;440299.54;4475499.92
99;Estructural;Estructural;---;---;---;---;---;11005365.0;440304.99;4475538.19
100;Parcial;Parcial;---;---;---;---;---;11005368.0;440348.11;4475559.46
101;Ambiental;Ambiental;---;---;---;---;---;11005369.0;440362.84;4475559.24
102;Parcial;Parcial;---;---;---;---;---;11005370.0;440374.74;4475559.1
103;Parcial;Parcial;---;---;---;---;---;11005371.0;440387.73;4475558.95
104;Parcial;Parcial;---;---;---;---;---;11005372.0;440400.51;4475558.8
105;Estructural;Estructural;---;---;---;---;---;11005374.0;440430.21;4475553.55
106;Singular;Singular;Convto. Mª Inmaculada;---;---;---;---;11005384.0;440332.08;4475488.94
108;Singular;Singular;Ermita Virgen del Puerto;---;---;---;---;31011490.0;438818.64;4474132.47
109;Parcial;Parcial;---;---;---;---;---;11005380.0;440347.47;4475452.28
110;Estructural;Estructural;---;---;---;---;---;11005381.0;440333.29;4475455.46
111;Parcial;Parcial;---;---;---;---;---;11005383.0;440329.47;4475472.02
112;Estructural;Estructural;---;---;---;---;---;11005386.0;440338.71;4475531.91
113;Estructural;Estructural;---;---;---;---;---;11005451.0;440206.77;4475515.41
114;Parcial;Parcial;---;---;---;---;---;11005452.0;440226.55;4475517.1
115;Parcial;Parcial;---;---;---;---;---;11005453.0;440242.37;4475514.25
116;Parcial;Parcial;---;---;---;---;---;11005454.0;440257.28;4475511.59
117;Parcial;Parcial;---;---;---;---;---;11005456.0;440284.19;4475484.44
118;Parcial;Parcial;---;---;---;---;---;11005457.0;440274.14;4475470.43
119;Parcial;Parcial;---;---;---;---;---;11005458.0;440258.04;4475474.45
120;Parcial;Parcial;---;---;---;---;---;11005459.0;440246.51;4475477.33
121;Parcial;Parcial;---;---;---;---;---;11005460.0;440236.13;4475479.92
122;Parcial;Parcial;---;---;---;---;---;11005461.0;440226.4;4475482.34
123;Ambiental;Ambiental;---;---;---;---;---;11005462.0;440211.08;4475486.11
