coordenada_x_utm,coordenada_y_utm
443397.166,4478129.388
443397.166,4478129.388
443397.166,4478129.388
443397.166,4478129.388
443397.166,4478129.388
443397.166,4478129.388
443397.166,4478129.388
443397.166,4478129.388
448417.051,4477830.879
448417.051,4477830.879
439187.099,4474647.474
441564.657,4479662.718
441564.657,4479662.718
441263.501,4473421.247
441263.501,4473421.247
441263.501,4473421.247
440377.220,4478721.130
440377.220,4478721.130
442149.475,4465639.237
447208.252,4476063.574
447208.252,4476063.574
434819.930,4472083.195
449521.612,4478953.903
449521.612,4478953.903
449521.612,4478953.903
447132.497,4474235.165
447132.497,4474235.165
439625.933,4481514.651
439625.933,4481514.651
439625.933,4481514.651
441017.906,4471343.868
441017.906,4471343.868
441017.906,4471343.868
448094.049,4474838.558
448094.049,4474838.558
448094.049,4474838.558
442411.382,4476634.644
442411.382,4476634.644
442411.382,4476634.644
442411.382,4476634.644
442411.382,4476634.644
437082.736,4473412.038
440644.985,4472707.072
440644.985,4472707.072
444532.820,4471959.571
444532.820,4471959.571
439137.180,4472181.449
439137.180,4472181.449
439137.180,4472181.449
443099.142,4481673.728
439496.718,4474300.910
437014.451,4469395.341
437014.451,4469395.341
437014.451,4469395.341
444793.060,4471050.483
444793.060,4471050.483
444793.060,4471050.483
444793.060,4471050.483
444793.060,4471050.483
444340.748,4482134.447
447765.827,4475767.153
447765.827,4475767.153
440908.959,4477845.530
440908.959,4477845.530
439937.267,4483990.555
439937.267,4483990.555
441270.079,4470223.568
444493.451,4471418.885
444493.451,4471418.885
444255.151,4482293.301
444255.151,4482293.301
440972.485,4471393.795
440972.485,4471393.795
448278.667,4477173.879
449335.804,4475708.771
449335.804,4475708.771
449335.804,4475708.771
449335.804,4475708.771
449335.804,4475708.771
449335.804,4475708.771
445200.149,4475211.256
445200.149,4475211.256
445200.149,4475211.256
445200.149,4475211.256
441045.929,4469800.547
441045.929,4469800.547
447259.626,4476650.376
447259.626,4476650.376
447259.626,4476650.376
435805.378,4468269.107
447902.593,4474581.305
447902.593,4474581.305
439449.654,4474797.873
439449.654,4474797.873
445009.718,4470432.691
445009.718,4470432.691
445009.718,4470432.691
440893.301,4469702.021
440893.301,4469702.021
441293.033,4467162.414
441293.033,4467162.414
441293.033,4467162.414
437080.649,4473399.661
439427.599,4475766.864
439427.599,4475766.864
442943.680,4475109.106
442943.680,4475109.106
443631.216,4473182.835
443631.216,4473182.835
445424.879,4476066.333
445424.879,4476066.333
440939.417,4475630.794
440939.417,4475630.794
439341.107,4472513.175
439341.107,4472513.175
439341.107,4472513.175
437179.490,4471175.715
437179.490,4471175.715
445990.842,4480379.687
445990.842,4480379.687
445990.842,4480379.687
439883.568,4474170.456
439883.568,4474170.456
437901.949,4469769.201
437901.949,4469769.201
437901.949,4469769.201
437901.949,4469769.201
443571.567,4473380.834
443571.567,4473380.834
438416.948,4470271.152
438416.948,4470271.152
442703.967,4477078.253
442703.967,4477078.253
445774.575,4471792.403
445774.575,4471792.403
442414.439,4476670.956
442414.439,4476670.956
442414.439,4476670.956
442414.439,4476670.956
442414.439,4476670.956
442414.439,4476670.956
441507.912,4473188.041
441507.912,4473188.041
441507.912,4473188.041
441507.912,4473188.041
442562.296,4473519.072
442562.296,4473519.072
446095.788,4471213.839
446095.788,4471213.839
444068.702,4474721.567
444068.702,4474721.567
444068.702,4474721.567
444068.702,4474721.567
444068.702,4474721.567
445982.752,4477590.044
445982.752,4477590.044
445982.752,4477590.044
439505.926,4472869.973
439505.926,4472869.973
441434.397,4470918.947
441434.397,4470918.947
439884.291,4473922.061
440162.693,4474648.178
440162.693,4474648.178
438769.744,4479228.014
449010.863,4469604.755
449010.863,4469604.755
449010.863,4469604.755
449010.863,4469604.755
441441.331,4478951.993
441441.331,4478951.993
447300.523,4470081.858
447300.523,4470081.858
447300.523,4470081.858
445942.414,4480098.495
445942.414,4480098.495
443485.820,4482865.863
443485.820,4482865.863
443485.820,4482865.863
441137.640,4467178.079
441137.640,4467178.079
441007.753,4480090.032
441007.753,4480090.032
441007.753,4480090.032
442951.461,4471233.925
442951.461,4471233.925
440008.735,4474706.714
440008.735,4474706.714
440008.735,4474706.714
443188.840,4473778.854
443188.840,4473778.854
443188.840,4473778.854
443532.344,4479764.541
443532.344,4479764.541
443532.344,4479764.541
440979.710,4471062.096
440979.710,4471062.096
445146.614,4481843.506
445146.614,4481843.506
441816.788,4472431.986
439446.202,4476876.187
439446.202,4476876.187
439446.202,4476876.187
441032.918,4475771.869
441032.918,4475771.869
444542.587,4475953.371
444542.587,4475953.371
444542.587,4475953.371
440497.600,4465041.972
440794.208,4479637.217
440794.208,4479637.217
440794.208,4479637.217
439676.226,4474962.909
439676.226,4474962.909
436494.112,4473281.509
436494.112,4473281.509
436494.112,4473281.509
436494.112,4473281.509
436494.112,4473281.509
436494.112,4473281.509
434313.356,4472044.143
434313.356,4472044.143
435295.635,4471332.989
451628.510,4479548.675
451628.510,4479548.675
441194.978,4474443.044
441194.978,4474443.044
441194.978,4474443.044
437660.890,4468605.947
437660.890,4468605.947
437660.890,4468605.947
440404.914,4481520.055
443717.786,4469886.737
443717.786,4469886.737
443717.786,4469886.737
437394.182,4472753.283
437394.182,4472753.283
450417.549,4477068.669
450417.549,4477068.669
450417.549,4477068.669
442152.837,4474739.541
442152.837,4474739.541
442152.837,4474739.541
440866.757,4472060.080
440866.757,4472060.080
443332.316,4472392.458
443332.316,4472392.458
443332.316,4472392.458
443332.316,4472392.458
443280.253,4470407.377
443280.253,4470407.377
439664.342,4465598.150
439664.342,4465598.150
452927.081,4473008.024
452927.081,4473008.024
448236.909,4470759.906
448236.909,4470759.906
448236.909,4470759.906
441406.026,4476550.072
441406.026,4476550.072
441302.944,4484636.467
441302.944,4484636.467
441302.944,4484636.467
444492.593,4476338.158
444492.593,4476338.158
444492.593,4476338.158
444035.268,4477060.849
444035.268,4477060.849
440240.703,4480630.641
440240.703,4480630.641
440240.703,4480630.641
443311.084,4481700.962
443311.084,4481700.962
445300.435,4480816.284
445300.435,4480816.284
443245.880,4472211.702
443245.880,4472211.702
447094.769,4472984.798
447094.769,4472984.798
447094.769,4472984.798
446418.722,4479054.609
446418.722,4479054.609
450263.206,4468683.169
450263.206,4468683.169
441030.495,4478386.217
441030.495,4478386.217
441030.495,4478386.217
441030.495,4478386.217
442277.991,4478870.161
442277.991,4478870.161
442277.991,4478870.161
442277.991,4478870.161
442277.991,4478870.161
446205.767,4471872.166
446205.767,4471872.166
434337.141,4472350.387
434337.141,4472350.387
445858.755,4475821.229
445858.755,4475821.229
445858.755,4475821.229
441352.304,4474920.613
441352.304,4474920.613
441352.304,4474920.613
443964.396,4475576.097
443964.396,4475576.097
443964.396,4475576.097
443964.396,4475576.097
437356.826,4468609.501
437356.826,4468609.501
447621.326,4471845.342
440328.270,4477759.449
440328.270,4477759.449
440328.270,4477759.449
440825.321,4472731.828
438364.382,4473711.740
438364.382,4473711.740
441440.623,4478165.905
441440.623,4478165.905
442783.894,4478863.115
442783.894,4478863.115
442783.894,4478863.115
445328.620,4484349.944
445328.620,4484349.944
445328.620,4484349.944
445328.620,4484349.944
443752.307,4471826.793
443752.307,4471826.793
441517.086,4479275.592
441517.086,4479275.592
448118.952,4476193.836
448118.952,4476193.836
444195.166,4476226.044
444195.166,4476226.044
440023.759,4471620.314
440023.759,4471620.314
440023.759,4471620.314
439902.447,4472953.706
439902.447,4472953.706
439902.447,4472953.706
439902.447,4472953.706
442860.171,4474395.995
442860.171,4474395.995
444064.272,4469799.846
438322.404,4469444.633
438322.404,4469444.633
440878.387,4475815.277
440878.387,4475815.277
443357.554,4480705.095
443357.554,4480705.095
444738.536,4471851.568
444738.536,4471851.568
439054.006,4483026.283
439054.006,4483026.283
451465.890,4479750.179
451465.890,4479750.179
445970.375,4471205.749
445970.375,4471205.749
446207.929,4470624.203
446207.929,4470624.203
441081.197,4472195.895
441081.197,4472195.895
443967.789,4475574.447
443967.789,4475574.447
446428.260,4470377.627
446428.260,4470377.627
445094.644,4475899.165
445094.644,4475899.165
438263.127,4472839.905
438263.127,4472839.905
438263.127,4472839.905
443933.714,4471438.420
443933.714,4471438.420
441284.751,4473405.775
441284.751,4473405.775
446453.462,4468928.813
446453.462,4468928.813
446453.462,4468928.813
446453.462,4468928.813
443654.032,4473586.550
443654.032,4473586.550
439188.963,4466468.026
439188.963,4466468.026
440556.280,4473841.534
440556.280,4473841.534
442303.566,4476841.889
442303.566,4476841.889
442303.566,4476841.889
443928.122,4475850.960
443928.122,4475850.960
442899.551,4473138.801
442899.551,4473138.801
442899.551,4473138.801
445639.394,4473360.273
445639.394,4473360.273
441196.022,4481661.426
441196.022,4481661.426
442471.889,4481667.987
442471.889,4481667.987
442471.889,4481667.987
439552.605,4469423.539
439552.605,4469423.539
437941.243,4473058.316
437941.243,4473058.316
437941.243,4473058.316
437941.243,4473058.316
433954.563,4478107.355
433954.563,4478107.355
441376.015,4479636.323
441376.015,4479636.323
441376.015,4479636.323
441376.015,4479636.323
441326.431,4477519.900
438367.896,4475284.213
438367.896,4475284.213
438367.896,4475284.213
438367.896,4475284.213
438367.896,4475284.213
439909.250,4474674.724
439909.250,4474674.724
439909.250,4474674.724
439414.662,4472793.509
439414.662,4472793.509
445650.220,4470945.815
445650.220,4470945.815
445650.220,4470945.815
445650.220,4470945.815
443066.186,4470674.533
443066.186,4470674.533
438502.011,4474163.131
438502.011,4474163.131
442479.155,4478935.321
442479.155,4478935.321
439340.100,4464806.953
439340.100,4464806.953
443943.184,4471946.485
443943.184,4471946.485
438402.856,4471546.926
438402.856,4471546.926
436924.084,4470547.201
436924.084,4470547.201
441539.155,4469224.081
443300.907,4470612.050
443300.907,4470612.050
443558.520,4476219.602
440651.459,4475559.516
440651.459,4475559.516
440651.459,4475559.516
440651.459,4475559.516
440651.459,4475559.516
443445.110,4481278.923
443445.110,4481278.923
438894.070,4480658.605
438894.070,4480658.605
438894.070,4480658.605
438894.070,4480658.605
438894.070,4480658.605
438039.292,4473197.933
438039.292,4473197.933
441546.016,4474104.309
441546.016,4474104.309
444723.475,4478912.065
444723.475,4478912.065
447918.679,4469066.268
447918.679,4469066.268
447918.679,4469066.268
447918.679,4469066.268
442699.192,4469999.635
442808.052,4471695.920
442808.052,4471695.920
441317.074,4477901.154
441317.074,4477901.154
448257.190,4473726.093
448257.190,4473726.093
438637.967,4476561.834
438637.967,4476561.834
433533.363,4470616.132
433533.363,4470616.132
444983.920,4476020.272
444983.920,4476020.272
450912.715,4480318.155
441500.906,4477720.788
441500.906,4477720.788
443117.932,4473073.229
443117.932,4473073.229
443117.932,4473073.229
443239.390,4474493.895
443239.390,4474493.895
442120.255,4477905.907
442120.255,4477905.907
442120.255,4477905.907
439425.072,4473576.562
439425.072,4473576.562
439425.072,4473576.562
440875.406,4472795.895
441072.548,4477137.620
441072.548,4477137.620
443233.391,4472962.336
443233.391,4472962.336
440989.134,4478650.771
440989.134,4478650.771
440989.134,4478650.771
439328.580,4475194.834
439328.580,4475194.834
439372.035,4464786.730
439339.929,4468604.245
439339.929,4468604.245
444822.519,4470380.796
444822.519,4470380.796
444822.519,4470380.796
444822.519,4470380.796
440196.444,4481485.758
440196.444,4481485.758
440196.444,4481485.758
440196.444,4481485.758
443586.777,4469710.819
450939.334,4480361.102
450939.334,4480361.102
441048.352,4470254.245
441048.352,4470254.245
440657.983,4470938.184
440890.318,4465295.855
440890.318,4465295.855
441789.536,4480667.552
441789.536,4480667.552
441789.536,4480667.552
