"Nº
RADAR";Ubicacion;Carretara o vial;"UBICACIÓN
Calle 30";PK;Sentido;Tipo;X (WGS84);Y (WGS84);Longitud;Latitud;Coordenadas
1;M-30, ENTRADA DE LA A-1, SENTIDO PUENTE DE VENTAS P.K. 0,500;M-30;00NC50;0+500;Calzada interior;Fijo carriles 3 y 4;442843.00;4481180.00;-367.433.808;4.047.934.148;DGP
2;M-30, ENTRADA DE LA A-1, SENTIDO PUENTE DE VENTAS P.K. 0,500;M-30;00NC50;0+500;Calzada interior;Fijo carriles 3 y 4;442847.00;4481180.00;-367.429.089;4.047.934.175;DGP
3;PASO INFERIOR COSTA RICA, SENTIDO PRÍNCIPE DE VERGARA;;;;;;443295.00;4478910.00;-366.880.283;4.045.892.328;DGP
4;M-30, PTE. DE VENTAS. SENTIDO SUR A O´DONNELL P.K. 6,700 ;M-30;M-30;6+700;Tronco calzada interior;Fijo carriles 1, 2 y 3;444002.00;4475270.00;-366.014.384;4.042.618.023;DGP
5;M-30, PTE. DE VENTAS. SENTIDO SUR A O´DONNELL P.K. 6,700 ;M-30;M-30;6+700;Tronco calzada interior;Fijo carriles 1, 2 y 3;444009.00;4475271.00;-366.006.141;4.042.618.971;DGP
6;M-30, ENLACE O´DONNELL SENTIDO NORTE A PTE. DE VENTAS PK 7,800 ;M-30;M-30;7+800;Tronco calzada exterior;Fijo carriles 2 y 3;444069.00;4474210.00;-365.926.082;4.041.663.568;DGP
7;M-30, ENLACE O´DONNELL SENTIDO NORTE A PTE. DE VENTAS PK 7,800 ;M-30;M-30;7+800;Tronco calzada exterior;Fijo carriles 2 y 3;444066.00;4474211.00;-365.929.627;4.041.664.449;DGP
8;TÚNEL BAIPÁS, SENTIDO NORTE A PTE. DE VENTAS (MÉNDEZ ÁLVARO-AVDA. DEL METITARRÁNEO);M-30;10XC30;10+300;Calzada exterior;Fijo carril 1;;;-3.670.048;40.397.352;Calle30
9;TÚNEL BAIPÁS, SENTIDO NORTE A PTE. DE VENTAS (MÉNDEZ ÁLVARO-AVDA. DEL METITARRÁNEO);M-30;10XC30;10+300;Calzada exterior;Fijo carril 3;;;-3.669.973;40.397.323;Calle30
10;ENTRADA TÚNEL M-30, DESDE NUDO SUR HACIA PTE. DE LOS FRANCESES;M-30;13NL25;13+250;Calzada interior;Fijo carril 3;;;-369.499.826;4.038.678.654;Calle30
11;TÚNEL M-30, SENTIDO NUDO SUR - PTE. DE LOS FRANCESES, (GTA. LEGAZPI - Pº STA. Mª DE LA CABEZA);M-30;13NL86;13+860;Calzada interior;Fijo carril 1;;;-3.699.691;4.039.118;Calle30
12;TÚNES BAIPÁS, SENTIDO A-3 A PTE. FRANCESES, (GTA. LEGAZPI - Pº STA. Mª DE LA CABEZA);M-30;14NC20;14+200;Calzada interior;Fijo carril 3;;;-3.703.274;40.394.924;Calle30
13;PASEO DE STA. Mª DE LA CABEZA Nº 115, ENTRADA;PASEO DE SANTA MARIA DE LA CABEZA;;115;;;439726.00;4471345.00;-371.017.703;4.039.052.318;DGP
14;TÚNES BAIPÁS, SENTIDO A3 A PTE. DE LOS FRANCESES, (ENLACE Pº STA. Mª DE LA CABEZA);M-30;14NC74;14+740;Calzada interior;Fijo carril 1;;;-3.708.108;4.039.657;Calle30
15;TÚNES BAIPÁS, SENTIDO A3 A PTE. DE LOS FRANCESES, (Pº STA. Mª DE LA CABEZA - GTA. PIRÁMIDES);M-30;15NL01;15+010;Calzada interior;Fijo carril 3;;;-3.709.684;40.397.139;Calle30
16;TÚNEL M-30, SENTIDO PTE. DE LOS FRANCESES - A3 (PTE. SAN ISIDRO - GTA. MARQUÉS DE VADILLO);M-30;16XC53;16+530;Calzada exterior;Fijo multicarril;;;-3.722.988;40.403.114;Calle30
17;TÚNEL M-30, SENTIDO NUDO SUR - PTE. DE LOS FRANCESES, (PASADA SALIDA VIRGEN DEL PUERTO);M-30;17NC17;17+170;Calzada interior;Fijo carril 1;;;-3.721.414;4.040.939;Calle30
18;TÚNEL AVDA. DE PORTUGAL, SENTIDO M-30;A5;04FT15;4+150;Entrada de Madrid;Fijo carril 1;;;-3.731.092;4.041.389;Calle30
19;TÚNEL AVDA. DE PORTUGAL, SENTIDO M-30;A5;04FT15;4+150;Entrada de Madrid;Fijo carril 4;;;-373.102;40.413.797;Calle30
20;A-5 PK 4,000, SALIDA;A5;;4;Salida;;436748.00;4473248.00;-374.545.156;4.040.744.539;DGP
21;ENTRADA TÚNEL EN MARQUÉS DE MONISTROL, P.K. 19,060;M-30;19XC06;19+060;Calzada exterior;Fijo carril 2 y 3;;;-3.727.663;40.422.937;Calle30
22;ENTRADA TÚNEL EN MARQUÉS DE MONISTROL, P.K. 19,060;M-30;19XC06;19+060;Calzada exterior;Fijo carril 2 y 3;;;-3.727.724;40.422.839;Calle30
23;M-30  MARQUÉS DE MONISTROL, SENTIDO PTE. DE LOS FRANCESES (PTE. DEL REY - PTE. FRANCESES) P.K. 19,800;M-30;19NC90;19+900;Calzada interior;Fijo carriles 2 y 3;437668.00;4475482.00;-373.482.875;4.042.763.957;DGP
24;M-30 SENTIDO AVDA. DE LA ILUSTRACIÓN (CTRA. DEL PARDO - AVDA. DE LA ILUSTRACIÓN) P.K. 25,700;M-30;25NC80;25+700;Calzada interior;Fijo multicarril;436823.00;4480674.00;-374.530.618;4.047.434.710;DGP
25;M-30  SENTIDO CTRA DEL PARDO (AVDA. DE LA ILUSTRACIÓN - CTRA. DEL PARDO) P.K. 27,300 ;M-30;;27+300;;Fijo multicarril;438043.00;4480491.00;-373.089.695;4.047.279.048;DGP
26;PASEO DE LA CASTELLA Nº 300, SALIDA;PASEO DE LA CASTELLANA;;300;Salida;Salida;441904.00;4481314.00;-368.542.793;4.048.048.344;DGP
27;AVENIDA DE CÓRDOBA CON CALLE DOCTOR TOLOSA LATOUR, SENTIDO GLORIETA DE MÁLAGA;AVENIDA DE CÓRDOBA;;"Inicio: GLORIETA DE CÁDIZ
Fin: AVENIDA DE CÓRDOBA CON CALLE DOCTOR TOLOSA LATOUR";Salida;Salida, radar de tramo;440873.00;4470025.29;-3.696.519;40.378.590;DGGVC
28;A-5 PK 5+750, SENTIDO SALIDA;A5;;P.K  4+000 ----- P.K. 5+750;Salida;Salida, radar de tramo;435.202.237.655.954;447.244.848.639.425;-376.358.611.606.955;404.001.241.953.525;DGGVC
29;A-5 PK 4+000, SENTIDO ENTRADA;A5;;P.K. 5+750 ----- P.K  4+000;Entrada;Entrada, radar de tramo;436.722.693.562.517;447.322.555.366.121;-374.574.755.307.117;404.072.412.609.861;DGGVC
