AÑO,ID_MEASURE,MES,ID,TIPOEDIFICIO,EDIFICIO,EDIFICIO_ALSO,DIRECCION,DISTRITO,DISTRITO_ALSO,CÓDIGO DISTRITO,BARRIO,BARRIO_ALSO,CÓDIGO BARRIO,LONGITUD,LATITUD,CLASE,UNIDADES,CONSUMO,MEASURE_TYPE_ID
2020,1,3,2258,Centros culturales y bibliotecas,Biblioteca Pública Municipal - Ana María Matute,https://www.wikidata.org/entity/Q70135254,"Calle Isaac Albeniz, 1 28019 Madrid",Carabanchel,https://www.wikidata.org/entity/Q1001991,11,San Isidro,https://www.wikidata.org/entity/Q3813733,113,-3.7202936410904,40.3977521494866,active energy,kilowatt hour,13099,1
2020,2,3,2258,Centros culturales y bibliotecas,Biblioteca Pública Municipal - Ana María Matute,https://www.wikidata.org/entity/Q70135254,"Calle Isaac Albeniz, 1 28019 Madrid",Carabanchel,https://www.wikidata.org/entity/Q1001991,11,San Isidro,https://www.wikidata.org/entity/Q3813733,113,-3.7202936410904,40.3977521494866,reactive energy,var,104,2
2020,3,3,2178,Centros culturales y bibliotecas,Biblioteca Pública Municipal - Ángel González,https://www.wikidata.org/entity/Q85697883,"Calle Granja De Torrehermosa, 1 28024 Madrid",Latina,https://www.wikidata.org/entity/Q794954,10,Aluche,https://www.wikidata.org/entity/Q31140,104,-3.7663713097572,40.3969681670062,active energy,kilowatt hour,9688,1
2020,4,3,2178,Centros culturales y bibliotecas,Biblioteca Pública Municipal - Ángel González,https://www.wikidata.org/entity/Q85697883,"Calle Granja De Torrehermosa, 1 28024 Madrid",Latina,https://www.wikidata.org/entity/Q794954,10,Aluche,https://www.wikidata.org/entity/Q31140,104,-3.7663713097572,40.3969681670062,reactive energy,var,4262,2
2020,5,3,2096,Centros culturales y bibliotecas,Biblioteca Pública Municipal - Eugenio Trías. Casa de Fieras de El Retiro,https://www.wikidata.org/entity/Q85697904,"Paseo Fernan Nuñez, 24 28009 Madrid",Retiro,https://www.wikidata.org/entity/Q2002296,3,Jerónimos,https://www.wikidata.org/entity/Q10306766,35,-3.6796432754374946,40.41678861549688,active energy,kilowatt hour,14630,1
2020,6,3,2096,Centros culturales y bibliotecas,Biblioteca Pública Municipal - Eugenio Trías. Casa de Fieras de El Retiro,https://www.wikidata.org/entity/Q85697904,"Paseo Fernan Nuñez, 24 28009 Madrid",Retiro,https://www.wikidata.org/entity/Q2002296,3,Jerónimos,https://www.wikidata.org/entity/Q10306766,35,-3.6796432754374946,40.41678861549688,reactive energy,var,4173,2
2020,7,3,1208,Centros culturales y bibliotecas,Biblioteca Pública Municipal - Gerardo Diego,https://www.wikidata.org/entity/Q85697914,"Calle Monte Aya, 12 28031 Madrid",Villa de Vallecas,https://www.wikidata.org/entity/Q1947988,18,Casco Histórico de Vallecas,https://www.wikidata.org/entity/Q16544370,181,-3.6226612333620114,40.378016410030774,active energy,kilowatt hour,4308,1
2020,8,3,1208,Centros culturales y bibliotecas,Biblioteca Pública Municipal - Gerardo Diego,https://www.wikidata.org/entity/Q85697914,"Calle Monte Aya, 12 28031 Madrid",Villa de Vallecas,https://www.wikidata.org/entity/Q1947988,18,Casco Histórico de Vallecas,https://www.wikidata.org/entity/Q16544370,181,-3.6226612333620114,40.378016410030774,reactive energy,var,1449,2
2020,9,3,1526,Centros culturales y bibliotecas,Biblioteca Pública Usera - José Hierro,https://www.wikidata.org/entity/Q26834202,"Calle Maria Sevilla Diago, 15 28022 Madrid",San Blas-Canillejas,https://www.wikidata.org/entity/Q2001937,20,Rosas,https://www.wikidata.org/entity/Q18880469,205,-3.610550602425999,40.433453540244685,active energy,kilowatt hour,2751,1
2020,10,3,1526,Centros culturales y bibliotecas,Biblioteca Pública Usera - José Hierro,https://www.wikidata.org/entity/Q26834202,"Calle Maria Sevilla Diago, 15 28022 Madrid",San Blas-Canillejas,https://www.wikidata.org/entity/Q2001937,20,Rosas,https://www.wikidata.org/entity/Q18880469,205,-3.610550602425999,40.433453540244685,reactive energy,var,80,2
2020,11,3,509,Centros culturales y bibliotecas,Biblioteca Pública Municipal - La Elipa,https://www.wikidata.org/entity/Q85697932,"Calle Nuestra Señora Del Villar, 6 28017 Madrid",Ciudad Lineal,https://www.wikidata.org/entity/Q1763694,15,Ventas,https://www.wikidata.org/entity/Q71762,151,-3.6512062299873125,40.4234957928842,active energy,kilowatt hour,995,1
