name_original;name_custom;dates_min_date;dates_max_date;coords;lon;lat;stadtklima_basel_link
03409973;Changed Board;2020-03-16T04:40:32+00:00;2020-05-19T16:51:25+00:00;7.623778208407, 7.6706995929728;7.6706995929728;7.623778208407;https://meteoblue.com/de/products/cityclimate/basel#03409973
03409975;Grenzstrasse Mauer;2020-03-16T05:01:14+00:00;2023-10-03T09:09:13+00:00;47.58783, 7.59679;7.59679;47.58783;https://meteoblue.com/de/products/cityclimate/basel#03409975
03409977;Changed Board;2020-03-16T05:15:53+00:00;2020-09-17T06:22:04+00:00;0.0, 0.0;0.0;0.0;https://meteoblue.com/de/products/cityclimate/basel#03409977
0340997D;Changed Board;2020-03-16T07:24:20+00:00;2021-01-07T12:52:05+00:00;0.0, 0.0;0.0;0.0;https://meteoblue.com/de/products/cityclimate/basel#0340997D
0340997E;Colmarerstrasse;2020-03-16T07:15:55+00:00;2023-10-03T08:18:37+00:00;47.593520456894204, 7.594190606521556;7.594190606521556;47.593520456894204;https://meteoblue.com/de/products/cityclimate/basel#0340997E
0340997F;Kohlenstrasse;2020-03-16T06:57:52+00:00;2023-10-03T08:30:31+00:00;47.57612, 7.57353;7.57353;47.57612;https://meteoblue.com/de/products/cityclimate/basel#0340997F
03409981;Büro;2020-03-16T06:25:41+00:00;2022-05-13T04:04:05+00:00;0.0, 0.0;0.0;0.0;https://meteoblue.com/de/products/cityclimate/basel#03409981
03409983;Abgehängt;2020-03-16T08:43:29+00:00;2022-03-26T04:40:55+00:00;0.0, 0.0;0.0;0.0;https://meteoblue.com/de/products/cityclimate/basel#03409983
03409985;Changed Board;2020-03-16T07:53:12+00:00;2020-12-21T13:44:01+00:00;0.0, 0.0;0.0;0.0;https://meteoblue.com/de/products/cityclimate/basel#03409985
03409988;Heuwaage;2020-03-16T08:15:58+00:00;2023-10-03T08:59:12+00:00;47.55095, 7.587;7.587;47.55095;https://meteoblue.com/de/products/cityclimate/basel#03409988
03409989;Gellertstrasse;2020-03-16T11:48:47+00:00;2023-10-03T09:05:18+00:00;47.55199, 7.6091;7.6091;47.55199;https://meteoblue.com/de/products/cityclimate/basel#03409989
0340998B;Abgehängt;2020-03-16T12:06:05+00:00;2021-09-09T21:28:37+00:00;0.0, 0.0;0.0;0.0;https://meteoblue.com/de/products/cityclimate/basel#0340998B
0340998C;Changed Board;2020-03-16T11:29:38+00:00;2021-01-19T18:29:43+00:00;0.0, 0.0;0.0;0.0;https://meteoblue.com/de/products/cityclimate/basel#0340998C
0340998D;Changed Board;2020-03-16T11:15:59+00:00;2020-08-02T14:00:06+00:00;0.0, 7.5981;7.5981;0.0;https://meteoblue.com/de/products/cityclimate/basel#0340998D
03409992;Changed Board;2020-03-17T05:15:13+00:00;2020-07-14T23:43:02+00:00;0.0, 7.58095;7.58095;0.0;https://meteoblue.com/de/products/cityclimate/basel#03409992
03409994;Badischer Bahnhof;2020-03-17T04:36:13+00:00;2023-10-03T09:08:15+00:00;47.56586, 7.60742;7.60742;47.56586;https://meteoblue.com/de/products/cityclimate/basel#03409994
03409995;Abgehängt - Emanuel Büchel Strasse;2020-03-16T09:34:38+00:00;2022-06-30T19:14:52+00:00;0.0, 0.0;0.0;0.0;https://meteoblue.com/de/products/cityclimate/basel#03409995
03409999;Changed Board;2020-03-16T08:49:39+00:00;2021-01-13T04:29:39+00:00;0.0, 0.0;0.0;0.0;https://meteoblue.com/de/products/cityclimate/basel#03409999
0340999A;Aeussere Baselstrasse;2020-03-16T09:14:48+00:00;2023-10-03T09:07:55+00:00;47.58023, 7.64115;7.64115;47.58023;https://meteoblue.com/de/products/cityclimate/basel#0340999A
0340999C;St. Jakobsstrasse;2020-03-16T09:52:44+00:00;2023-10-03T08:44:28+00:00;47.54029, 7.62197;7.62197;47.54029;https://meteoblue.com/de/products/cityclimate/basel#0340999C
0340999E;Abgehängt;2020-03-16T11:07:43+00:00;2021-06-15T12:12:00+00:00;0.0, 0.0;0.0;0.0;https://meteoblue.com/de/products/cityclimate/basel#0340999E
034099A0;Rheinpromenade 1;2020-03-16T10:47:22+00:00;2023-10-03T09:06:18+00:00;47.57121, 7.58329;7.58329;47.57121;https://meteoblue.com/de/products/cityclimate/basel#034099A0
034099A3;Münchensteinstrasse;2020-03-17T05:56:52+00:00;2023-10-03T09:02:18+00:00;47.53936, 7.60646;7.60646;47.53936;https://meteoblue.com/de/products/cityclimate/basel#034099A3
034099A4;Changed Board;2020-03-17T05:30:15+00:00;2020-09-16T12:17:16+00:00;0.0, 7.61745;7.61745;0.0;https://meteoblue.com/de/products/cityclimate/basel#034099A4
034099A8;Sandweg;2020-03-17T06:43:39+00:00;2023-10-03T08:23:00+00:00;47.55277, 7.55328;7.55328;47.55277;https://meteoblue.com/de/products/cityclimate/basel#034099A8
034099AE;Freiburgerstrasse;2020-03-17T07:15:08+00:00;2023-10-03T09:04:39+00:00;47.57565, 7.60161;7.60161;47.57565;https://meteoblue.com/de/products/cityclimate/basel#034099AE
034099B1;Changed Board;2020-03-17T08:07:05+00:00;2020-11-05T12:06:53+00:00;47.54866, 0.0;0.0;47.54866;https://meteoblue.com/de/products/cityclimate/basel#034099B1
034099B3;Maulbeerstrasse;2020-03-17T08:55:10+00:00;2023-09-15T19:59:48+00:00;47.56705, 7.60092;7.60092;47.56705;https://meteoblue.com/de/products/cityclimate/basel#034099B3
034099B4;Abgehängt;2020-03-17T08:48:50+00:00;2021-04-02T11:11:35+00:00;0.0, 0.0;0.0;0.0;https://meteoblue.com/de/products/cityclimate/basel#034099B4
034099B6;Hirzbodenweg;2020-03-17T10:41:09+00:00;2023-10-03T08:48:27+00:00;47.54885, 7.60768;7.60768;47.54885;https://meteoblue.com/de/products/cityclimate/basel#034099B6
034099BE;Wilhelm-Klein-Strasse;2020-03-18T11:04:20+00:00;2023-10-03T09:09:05+00:00;47.56991, 7.56761;7.56761;47.56991;https://meteoblue.com/de/products/cityclimate/basel#034099BE
034099C0;Horburgstrasse;2020-03-18T09:14:03+00:00;2023-10-03T08:59:06+00:00;47.57082, 7.59273;7.59273;47.57082;https://meteoblue.com/de/products/cityclimate/basel#034099C0
03409FED;Tannenstrasse;2020-04-27T03:41:37+00:00;2023-10-03T08:55:36+00:00;47.51797, 7.61306;7.61306;47.51797;https://meteoblue.com/de/products/cityclimate/basel#03409FED
03409FF0;Changed Board;2020-04-27T04:30:34+00:00;2021-01-29T07:59:50+00:00;0.0, 0.0;0.0;0.0;https://meteoblue.com/de/products/cityclimate/basel#03409FF0
03409FF3;Im Wannenboden;2020-04-27T05:40:40+00:00;2023-10-03T09:04:06+00:00;47.52331, 7.71486;7.71486;47.52331;https://meteoblue.com/de/products/cityclimate/basel#03409FF3
03409FF7;Changed Board;2020-04-27T06:22:23+00:00;2021-03-18T06:08:45+00:00;0.0, 0.0;0.0;0.0;https://meteoblue.com/de/products/cityclimate/basel#03409FF7
03409FF9;Changed Board;2020-04-27T06:42:48+00:00;2020-11-16T11:36:36+00:00;47.544586786421, 0.0;0.0;47.544586786421;https://meteoblue.com/de/products/cityclimate/basel#03409FF9
03409FFA;Changed Board;2020-04-27T07:29:23+00:00;2020-11-16T06:08:32+00:00;47.52227, 0.0;0.0;47.52227;https://meteoblue.com/de/products/cityclimate/basel#03409FFA
03409FFC;Erlenmatt 2;2020-04-27T07:09:41+00:00;2023-10-03T08:41:54+00:00;47.56959, 7.60312;7.60312;47.56959;https://meteoblue.com/de/products/cityclimate/basel#03409FFC
0340A000;Brünnlinrain (Schild);2020-04-27T08:10:13+00:00;2023-10-03T08:57:21+00:00;47.59263, 7.65389;7.65389;47.59263;https://meteoblue.com/de/products/cityclimate/basel#0340A000
0340A001;Alte Straße;2020-04-27T08:16:30+00:00;2023-10-03T08:31:44+00:00;47.5994809271, 7.5985499475578;7.5985499475578;47.5994809271;https://meteoblue.com/de/products/cityclimate/basel#0340A001
0340A006;Büro - testen;2020-04-27T09:18:47+00:00;2022-05-30T04:19:56+00:00;0.0, 0.0;0.0;0.0;https://meteoblue.com/de/products/cityclimate/basel#0340A006
0340A008;Changed Board;2020-04-28T02:23:18+00:00;2020-11-07T01:37:09+00:00;47.54584, 0.0;0.0;47.54584;https://meteoblue.com/de/products/cityclimate/basel#0340A008
0340A009;Aliothstrasse;2020-04-28T02:31:48+00:00;2023-04-15T07:42:06+00:00;47.513, 7.61627;7.61627;47.513;https://meteoblue.com/de/products/cityclimate/basel#0340A009
0340A010;Mittlere Brücke;2020-04-28T04:17:51+00:00;2023-10-03T09:02:15+00:00;47.56024, 7.59016;7.59016;47.56024;https://meteoblue.com/de/products/cityclimate/basel#0340A010
0340A013;Changed Board;2020-04-28T05:29:59+00:00;2020-11-16T18:25:01+00:00;47.549739152969, 0.0;0.0;47.549739152969;https://meteoblue.com/de/products/cityclimate/basel#0340A013
0340A014;Changed Board;2020-04-28T05:41:13+00:00;2020-05-16T05:14:29+00:00;47.615889, 8.6506304;8.6506304;47.615889;https://meteoblue.com/de/products/cityclimate/basel#0340A014
0340A016;Zwingerstrasse;2020-04-28T06:31:31+00:00;2023-10-03T08:59:48+00:00;47.54443, 7.59349;7.59349;47.54443;https://meteoblue.com/de/products/cityclimate/basel#0340A016
0340A0D8;Changed Board;2020-04-28T07:47:46+00:00;2020-11-27T16:44:03+00:00;47.54537, 0.0;0.0;47.54537;https://meteoblue.com/de/products/cityclimate/basel#0340A0D8
0340AD75;Büro;2020-07-31T08:49:56+00:00;2022-03-29T20:00:17+00:00;47.0707, 15.4395;15.4395;47.0707;https://meteoblue.com/de/products/cityclimate/basel#0340AD75
0340AD77;Freiburgerstraße;2020-07-31T08:54:55+00:00;2023-10-03T09:01:18+00:00;47.631697010124, 7.6580963400649;7.6580963400649;47.631697010124;https://meteoblue.com/de/products/cityclimate/basel#0340AD77
0340AD7D;Bäumlihofstrasse;2020-07-31T09:09:56+00:00;2023-10-03T08:31:07+00:00;47.56967, 7.62723;7.62723;47.56967;https://meteoblue.com/de/products/cityclimate/basel#0340AD7D
0340AD7E;Erlenmatt 4;2020-07-31T09:12:15+00:00;2023-10-03T09:02:03+00:00;47.57016, 7.60209;7.60209;47.57016;https://meteoblue.com/de/products/cityclimate/basel#0340AD7E
0340AD86;Büro;2020-07-31T09:58:56+00:00;2023-01-14T23:00:56+00:00;0.0, 0.0;0.0;0.0;https://meteoblue.com/de/products/cityclimate/basel#0340AD86
0340AD88;Münsterplatz;2020-07-31T10:03:14+00:00;2023-10-03T09:04:55+00:00;47.55585, 7.59151;7.59151;47.55585;https://meteoblue.com/de/products/cityclimate/basel#0340AD88
0340AD8A;Changed Board;2020-07-31T10:44:14+00:00;2021-04-09T14:10:24+00:00;0.0, 0.0;0.0;0.0;https://meteoblue.com/de/products/cityclimate/basel#0340AD8A
0340AD90;Bruderholzallee;2020-07-31T11:00:52+00:00;2023-10-03T00:08:39+00:00;47.53339, 7.59686;7.59686;47.53339;https://meteoblue.com/de/products/cityclimate/basel#0340AD90
0340AD92;Oscar Frey-Strasse;2020-07-31T11:05:07+00:00;2023-01-21T10:46:25+00:00;47.52929, 7.58641;7.58641;47.52929;https://meteoblue.com/de/products/cityclimate/basel#0340AD92
0340AD94;Gundeldingerstrasse 1;2020-07-31T11:08:37+00:00;2023-10-03T09:07:49+00:00;47.54323, 7.58335;7.58335;47.54323;https://meteoblue.com/de/products/cityclimate/basel#0340AD94
0340AD95;Rosentalstrasse;2020-07-31T11:10:23+00:00;2023-10-03T08:51:25+00:00;47.56469, 7.60349;7.60349;47.56469;https://meteoblue.com/de/products/cityclimate/basel#0340AD95
0340AD9E;Rue Philippe Kieffer;2020-07-31T12:02:16+00:00;2023-10-03T09:09:15+00:00;47.580795, 7.568456;7.568456;47.580795;https://meteoblue.com/de/products/cityclimate/basel#0340AD9E
0340D1F4;Messeplatz;2021-06-09T09:40:26+00:00;2023-10-03T09:07:43+00:00;47.56316, 7.59957;7.59957;47.56316;https://meteoblue.com/de/products/cityclimate/basel#0340D1F4
0340D1FA;15;2021-06-09T09:48:23+00:00;2023-08-02T11:05:57+00:00;47.383618173116815, 8.546383451938633;8.546383451938633;47.383618173116815;https://meteoblue.com/de/products/cityclimate/basel#0340D1FA
0340D1FC;Birsstegweg;2021-06-10T02:09:51+00:00;2023-09-28T14:36:34+00:00;47.552641, 7.621516;7.621516;47.552641;https://meteoblue.com/de/products/cityclimate/basel#0340D1FC
0340F2EB;Paul-Sacher-Anlage;2022-05-18T09:10:42+00:00;2023-10-03T08:02:08+00:00;47.55915, 7.60913;7.60913;47.55915;https://meteoblue.com/de/products/cityclimate/basel#0340F2EB
0340F2F0;Auf der Wacht;2022-05-18T09:42:51+00:00;2023-04-18T07:10:03+00:00;47.52143, 7.55981;7.55981;47.52143;https://meteoblue.com/de/products/cityclimate/basel#0340F2F0
0340F2F1;Käppelestraße;2022-05-18T09:48:03+00:00;2023-06-05T07:32:48+00:00;47.602342034899, 7.6548993702183;7.6548993702183;47.602342034899;https://meteoblue.com/de/products/cityclimate/basel#0340F2F1
0340F2F2;Zürcher Strasse;2022-05-18T09:53:53+00:00;2023-06-20T20:55:51+00:00;47.55279, 7.6053;7.6053;47.55279;https://meteoblue.com/de/products/cityclimate/basel#0340F2F2
0340F2F4;St. Alban Anlage;2022-05-18T10:04:43+00:00;2023-10-03T08:55:58+00:00;47.55183, 7.5981;7.5981;47.55183;https://meteoblue.com/de/products/cityclimate/basel#0340F2F4
0340F2F6;Hüningerstrasse;2022-05-18T10:15:28+00:00;2023-10-03T08:58:48+00:00;47.57124, 7.57492;7.57492;47.57124;https://meteoblue.com/de/products/cityclimate/basel#0340F2F6
0340F2F7;Erlenmatt 1;2022-05-18T10:20:26+00:00;2023-10-03T08:59:40+00:00;47.56918, 7.60257;7.60257;47.56918;https://meteoblue.com/de/products/cityclimate/basel#0340F2F7
03A0B2CB;Weissenstein (Jura);1999-12-31T23:15:00+00:00;2021-04-28T03:00:00+00:00;47.253517, 7.50797;7.50797;47.253517;https://meteoblue.com/de/products/cityclimate/basel#03A0B2CB
03400150;Feldbergstrasse;2019-07-24T09:29:38+00:00;2023-10-03T09:02:59+00:00;47.567028810383, 7.5947387754631;7.5947387754631;47.567028810383;https://meteoblue.com/de/products/cityclimate/basel#03400150
03400168;Schweizerhalle;2019-10-07T05:43:11+00:00;2023-07-08T02:25:41+00:00;47.53086, 7.66182;7.66182;47.53086;https://meteoblue.com/de/products/cityclimate/basel#03400168
0340016D;Binningen;2019-10-30T14:56:13+00:00;2023-08-04T09:08:07+00:00;47.54101, 7.58367;7.58367;47.54101;https://meteoblue.com/de/products/cityclimate/basel#0340016D
03400170;A2 Hard;2019-10-07T04:29:18+00:00;2023-06-14T12:31:40+00:00;47.53808, 7.64898;7.64898;47.53808;https://meteoblue.com/de/products/cityclimate/basel#03400170
03400188;A2 Hard;2019-08-13T13:06:51+00:00;2023-06-14T12:58:42+00:00;47.53808, 7.64898;7.64898;47.53808;https://meteoblue.com/de/products/cityclimate/basel#03400188
03400189;Areal Wolf (Mast 3);2019-08-14T05:50:55+00:00;2023-10-03T08:58:15+00:00;47.54531, 7.61225;7.61225;47.54531;https://meteoblue.com/de/products/cityclimate/basel#03400189
0340019D;Gleisbett (Mast 3);2019-10-24T04:04:47+00:00;2023-10-03T09:02:05+00:00;47.54192, 7.60833;7.60833;47.54192;https://meteoblue.com/de/products/cityclimate/basel#0340019D
034001A5;Büro;2020-02-07T08:56:28+00:00;2023-10-03T09:09:45+00:00;47.56191844201147, 7.5947413702010635;7.5947413702010635;47.56191844201147;https://meteoblue.com/de/products/cityclimate/basel#034001A5
034001A7;Schulhaus Leonhard 4;2019-10-25T04:51:42+00:00;2023-10-03T08:56:19+00:00;47.55445323222687, 7.586700005026201;7.586700005026201;47.55445323222687;https://meteoblue.com/de/products/cityclimate/basel#034001A7
034001A9;Tüllingerstraße;2020-01-03T13:35:57+00:00;2023-10-03T09:09:03+00:00;47.615889, 7.6506304;7.6506304;47.615889;https://meteoblue.com/de/products/cityclimate/basel#034001A9
034001AA;Mast 5 (Gleisbett);2019-10-23T13:24:48+00:00;2023-10-03T09:07:47+00:00;47.5428, 7.60326;7.60326;47.5428;https://meteoblue.com/de/products/cityclimate/basel#034001AA
034001AF;St. Johann;2019-08-13T12:38:50+00:00;2023-10-03T08:58:32+00:00;47.56597, 7.58201;7.58201;47.56597;https://meteoblue.com/de/products/cityclimate/basel#034001AF
03400393;Changed Board;2019-10-03T03:00:31+00:00;2020-11-08T11:09:49+00:00;47.54903, 0.0;0.0;47.54903;https://meteoblue.com/de/products/cityclimate/basel#03400393
0340039C;Changed Board;2019-10-03T02:14:42+00:00;2020-09-02T14:45:30+00:00;0.0, 7.52312;7.52312;0.0;https://meteoblue.com/de/products/cityclimate/basel#0340039C
0340039F;Changed Board;2019-10-02T09:50:51+00:00;2020-07-16T12:56:44+00:00;0.0, 0.0;0.0;0.0;https://meteoblue.com/de/products/cityclimate/basel#0340039F
034003A3;Changed Board;2019-10-03T02:42:09+00:00;2020-04-26T12:46:10+00:00;0.0, 7.58304;7.58304;0.0;https://meteoblue.com/de/products/cityclimate/basel#034003A3
034003A5;Changed Board;2019-10-03T03:02:56+00:00;2020-09-28T08:20:23+00:00;0.0, 7.56093;7.56093;0.0;https://meteoblue.com/de/products/cityclimate/basel#034003A5
034003A8;Dürenmattweg;2019-10-03T02:57:49+00:00;2023-10-03T08:21:31+00:00;47.55301, 7.54789;7.54789;47.55301;https://meteoblue.com/de/products/cityclimate/basel#034003A8
034003AA;Falkensteinerstrasse;2019-10-02T09:31:11+00:00;2023-10-03T09:00:41+00:00;47.53934, 7.60146;7.60146;47.53934;https://meteoblue.com/de/products/cityclimate/basel#034003AA
034003AB;Avenue General de Gaulle;2019-10-03T02:09:49+00:00;2023-10-03T09:04:02+00:00;47.581168, 7.553681;7.553681;47.581168;https://meteoblue.com/de/products/cityclimate/basel#034003AB
034003AE;Schulhaus Leonhard 2;2019-10-03T02:17:37+00:00;2023-10-03T09:06:27+00:00;47.5544591200586, 7.586940062736751;7.586940062736751;47.5544591200586;https://meteoblue.com/de/products/cityclimate/basel#034003AE
03409968;Lysbüchel 2;2020-03-18T07:39:18+00:00;2023-10-03T09:02:39+00:00;47.57349, 7.57361;7.57361;47.57349;https://meteoblue.com/de/products/cityclimate/basel#03409968
03409969;Changed Board;2020-03-18T06:41:15+00:00;2020-06-14T02:45:50+00:00;0.0, 7.57419;7.57419;0.0;https://meteoblue.com/de/products/cityclimate/basel#03409969
0340996A;Bahnweg;2020-03-18T06:21:42+00:00;2023-10-03T09:03:45+00:00;47.58915311, 7.622005925;7.622005925;47.58915311;https://meteoblue.com/de/products/cityclimate/basel#0340996A
0340996F;Moosackerweg;2020-03-18T08:32:55+00:00;2023-10-03T09:03:35+00:00;47.45687, 7.59547;7.59547;47.45687;https://meteoblue.com/de/products/cityclimate/basel#0340996F
03409979;Lindenplatz;2020-03-16T06:03:32+00:00;2023-10-03T09:04:00+00:00;47.599864776505, 7.6402565206538;7.6402565206538;47.599864776505;https://meteoblue.com/de/products/cityclimate/basel#03409979
03409980;Büro;2020-03-16T06:46:51+00:00;2022-04-27T02:37:18+00:00;0.0, 0.0;0.0;0.0;https://meteoblue.com/de/products/cityclimate/basel#03409980
03409984;Brüglingerstrasse;2020-03-16T08:10:46+00:00;2023-09-29T04:23:11+00:00;47.54, 7.61556;7.61556;47.54;https://meteoblue.com/de/products/cityclimate/basel#03409984
03409987;Kraftwerkinsel;2020-03-16T07:42:06+00:00;2023-10-02T18:35:32+00:00;47.55939, 7.63502;7.63502;47.55939;https://meteoblue.com/de/products/cityclimate/basel#03409987
0340998F;Changed Board;2020-03-17T04:24:26+00:00;2020-11-16T15:11:24+00:00;47.48614, 0.0;0.0;47.48614;https://meteoblue.com/de/products/cityclimate/basel#0340998F
03409990;Georges-Köhler-Straße;2020-03-17T04:09:48+00:00;2023-10-03T08:30:11+00:00;47.610674968339, 7.656698461915;7.656698461915;47.610674968339;https://meteoblue.com/de/products/cityclimate/basel#03409990
03409991;Changed Board;2020-03-17T03:53:22+00:00;2020-10-12T08:36:32+00:00;47.56598, 0.0;0.0;47.56598;https://meteoblue.com/de/products/cityclimate/basel#03409991
03409996;Abgehängt - vorher Dorenbachviadukt;2020-03-16T09:26:00+00:00;2022-05-19T01:16:45+00:00;0.0, 0.0;0.0;0.0;https://meteoblue.com/de/products/cityclimate/basel#03409996
03409998;Jupiterstrasse;2020-03-16T09:07:05+00:00;2023-10-03T09:02:59+00:00;47.51277, 7.60078;7.60078;47.51277;https://meteoblue.com/de/products/cityclimate/basel#03409998
034099A2;Hangelimattweg;2020-03-17T06:34:43+00:00;2023-09-08T08:40:39+00:00;47.45859, 7.57834;7.57834;47.45859;https://meteoblue.com/de/products/cityclimate/basel#034099A2
034099A6;Changed Board;2020-03-17T05:37:13+00:00;2021-04-16T14:35:52+00:00;0.0, 0.0;0.0;0.0;https://meteoblue.com/de/products/cityclimate/basel#034099A6
034099AA;Büro;2020-03-17T06:55:44+00:00;2023-07-01T08:16:53+00:00;0.0, 0.0;0.0;0.0;https://meteoblue.com/de/products/cityclimate/basel#034099AA
034099AB;Ahornstrasse;2020-03-17T07:33:10+00:00;2023-10-03T09:09:30+00:00;47.557275, 7.57464;7.57464;47.557275;https://meteoblue.com/de/products/cityclimate/basel#034099AB
034099AD;Changed Board;2020-03-17T07:50:07+00:00;2020-08-15T01:04:07+00:00;0.0, 0.0;0.0;0.0;https://meteoblue.com/de/products/cityclimate/basel#034099AD
034099B0;Dorneckstrasse;2020-03-17T08:19:26+00:00;2023-10-03T09:08:12+00:00;47.48164, 7.61958;7.61958;47.48164;https://meteoblue.com/de/products/cityclimate/basel#034099B0
034099B5;Changed Board;2020-03-17T09:32:44+00:00;2020-05-12T09:03:01+00:00;47.57084, 0.0;0.0;47.57084;https://meteoblue.com/de/products/cityclimate/basel#034099B5
034099B7;Büro;2020-03-17T10:18:08+00:00;2023-05-02T09:39:26+00:00;0.0, 0.0;0.0;0.0;https://meteoblue.com/de/products/cityclimate/basel#034099B7
034099B8;Marktplatz 2;2020-03-18T10:19:19+00:00;2023-07-31T20:10:06+00:00;47.5586, 7.58716;7.58716;47.5586;https://meteoblue.com/de/products/cityclimate/basel#034099B8
034099B9;Brünnlirain (Laterne);2020-03-17T09:52:38+00:00;2023-09-11T15:07:36+00:00;47.59267, 7.65379;7.65379;47.59267;https://meteoblue.com/de/products/cityclimate/basel#034099B9
034099BA;Changed Board;2020-03-17T11:12:00+00:00;2020-11-18T11:34:37+00:00;0.0, 7.6272;7.6272;0.0;https://meteoblue.com/de/products/cityclimate/basel#034099BA
