name_original;name_custom;dates_min_date;dates_max_date;coords;lon;lat;stadtklima_basel_link
0320024A;St. Johann;2019-08-20T06:56:34+00:00;2023-10-03T08:57:04+00:00;47.56597, 7.58201;7.58201;47.56597;https://meteoblue.com/de/products/cityclimate/basel#0320024A
03400126;Büro - Check Network;2019-06-17T10:17:44+00:00;2022-08-28T07:27:59+00:00;47.363664966, 8.574856635;8.574856635;47.363664966;https://meteoblue.com/de/products/cityclimate/basel#03400126
03400161;Spitalstrasse;2020-04-22T13:58:13+00:00;2023-10-03T09:05:31+00:00;47.56335, 7.58294;7.58294;47.56335;https://meteoblue.com/de/products/cityclimate/basel#03400161
03400163;Langegasse;2019-11-25T08:49:14+00:00;2023-10-03T09:06:57+00:00;47.53955, 7.56728;7.56728;47.53955;https://meteoblue.com/de/products/cityclimate/basel#03400163
0340016A;Areal Wolf (Mast 5);2019-08-14T05:22:04+00:00;2023-10-03T09:02:55+00:00;47.54363, 7.60826;7.60826;47.54363;https://meteoblue.com/de/products/cityclimate/basel#0340016A
0340018F;Areal Wolf (Mast 7);2019-08-14T05:37:08+00:00;2023-10-03T09:00:42+00:00;47.54245, 7.61357;7.61357;47.54245;https://meteoblue.com/de/products/cityclimate/basel#0340018F
0340019A;Gleisbett (Mast 2);2019-10-24T03:54:29+00:00;2023-10-03T09:05:31+00:00;47.54253, 7.60985;7.60985;47.54253;https://meteoblue.com/de/products/cityclimate/basel#0340019A
0340019F;Gleisbett (Mast 1);2019-10-24T05:14:13+00:00;2023-10-03T08:56:12+00:00;47.54212, 7.6135;7.6135;47.54212;https://meteoblue.com/de/products/cityclimate/basel#0340019F
034001A4;Bahnhof SBB;2020-01-03T09:13:53+00:00;2023-10-03T09:06:32+00:00;47.54789, 7.58976;7.58976;47.54789;https://meteoblue.com/de/products/cityclimate/basel#034001A4
034001A6;Areal Wolf (Mast 2);2019-08-14T05:11:25+00:00;2023-10-03T09:06:00+00:00;47.54331, 7.61739;7.61739;47.54331;https://meteoblue.com/de/products/cityclimate/basel#034001A6
03400395;Rheinpromenade 4;2019-10-02T09:24:03+00:00;2023-10-03T08:57:34+00:00;47.57551, 7.58309;7.58309;47.57551;https://meteoblue.com/de/products/cityclimate/basel#03400395
03400397;Lindenplatz;2019-10-03T02:31:17+00:00;2023-10-03T08:04:14+00:00;47.55811, 7.56055;7.56055;47.55811;https://meteoblue.com/de/products/cityclimate/basel#03400397
0340039A;Changed Board;2019-10-02T08:48:06+00:00;2020-08-21T19:06:33+00:00;0.0, 0.0;0.0;0.0;https://meteoblue.com/de/products/cityclimate/basel#0340039A
0340039B;Changed Board;2019-10-03T02:22:25+00:00;2020-08-12T07:33:51+00:00;0.0, 0.0;0.0;0.0;https://meteoblue.com/de/products/cityclimate/basel#0340039B
0340039D;Bottminger Strasse;2019-10-02T09:28:21+00:00;2023-10-03T08:55:58+00:00;47.53058, 7.57343;7.57343;47.53058;https://meteoblue.com/de/products/cityclimate/basel#0340039D
0340039E;Changed Board;2019-10-02T09:43:24+00:00;2020-07-12T07:42:22+00:00;0.0, 7.56045;7.56045;0.0;https://meteoblue.com/de/products/cityclimate/basel#0340039E
034003A7;Rheinpromenade 2;2019-10-02T08:43:52+00:00;2023-10-03T09:09:15+00:00;47.57244, 7.58357;7.58357;47.57244;https://meteoblue.com/de/products/cityclimate/basel#034003A7
034003A9;Changed Board;2019-10-02T09:34:43+00:00;2020-07-28T01:01:41+00:00;0.0, 7.61313;7.61313;0.0;https://meteoblue.com/de/products/cityclimate/basel#034003A9
034003B1;Schulhaus Leonhard 5;2019-10-03T02:47:38+00:00;2023-07-19T09:44:16+00:00;47.55430807981246, 7.586575282307009;7.586575282307009;47.55430807981246;https://meteoblue.com/de/products/cityclimate/basel#034003B1
034003B2;Grenzacherstrasse;2019-10-03T02:25:39+00:00;2023-10-03T08:55:42+00:00;47.55886, 7.60385;7.60385;47.55886;https://meteoblue.com/de/products/cityclimate/basel#034003B2
03409963;Abgehängt;2020-03-18T05:24:21+00:00;2021-11-18T14:48:33+00:00;0.0, 0.0;0.0;0.0;https://meteoblue.com/de/products/cityclimate/basel#03409963
03409964;Schäferrain;2020-03-18T05:32:08+00:00;2023-10-03T09:10:13+00:00;47.49462, 7.62441;7.62441;47.49462;https://meteoblue.com/de/products/cityclimate/basel#03409964
03409965;Claraplatz;2020-03-18T05:42:37+00:00;2023-10-03T08:56:26+00:00;47.56191, 7.59474;7.59474;47.56191;https://meteoblue.com/de/products/cityclimate/basel#03409965
03409967;Changed Board;2020-03-18T07:16:23+00:00;2020-09-03T06:54:17+00:00;0.0, 0.0;0.0;0.0;https://meteoblue.com/de/products/cityclimate/basel#03409967
0340996C;Lysbüchel 1;2020-03-18T06:31:51+00:00;2023-10-03T00:04:45+00:00;47.57355, 7.57355;7.57355;47.57355;https://meteoblue.com/de/products/cityclimate/basel#0340996C
03409971;Allschwilerstrasse;2020-03-18T08:40:47+00:00;2023-10-03T08:21:02+00:00;47.55731, 7.56733;7.56733;47.55731;https://meteoblue.com/de/products/cityclimate/basel#03409971
