ID,RegistrationDate,District,Hood,Street,Direction,Number,Company,Places,Longitude,Latitude
35,26-06-2014,01  CENTRO,01-01 PALACIO," PLAZA, DEL, CORDON"," PLAZA, DEL, CORDON 1",1,BiciMAD,24,-3.7103676,40.4141792
36,26-06-2014,01  CENTRO,01-01 PALACIO," PLAZA, DE, RAMALES"," PLAZA, DE, RAMALES 5",5,BiciMAD,24,-3.711764,40.4168229
37,26-06-2014,01  CENTRO,01-01 PALACIO," PLAZA, DE, SAN FRANCISCO"," PLAZA, DE, SAN FRANCISCO 5",5,BiciMAD,24,-3.7141234,40.4108606
38,26-06-2014,01  CENTRO,01-01 PALACIO," CARRERA, DE, SAN FRANCISCO"," CARRERA, DE, SAN FRANCISCO 1",1,BiciMAD,24,-3.7114443,40.4112961
39,26-06-2014,01  CENTRO,01-01 PALACIO," PLAZA, DE LA, CEBADA"," PLAZA, DE LA, CEBADA 16",16,BiciMAD,27,-3.7090043,40.4112662
40,26-06-2014,01  CENTRO,01-02 EMBAJADORES," CALLE, DEL, CONDE DE ROMANONES"," CALLE, DEL, CONDE DE ROMANONES 2",2,BiciMAD,24,-3.7047463,40.4137865
41,18-01-2019,01  CENTRO,01-02 EMBAJADORES," CALLE, DE, ATOCHA"," CALLE, DE, ATOCHA 56",56,BiciMAD,18,-3.6989898,40.412228
42,26-06-2014,01  CENTRO,01-02 EMBAJADORES," CALLE, DE, SANTA ISABEL"," CALLE, DE, SANTA ISABEL 32",32,BiciMAD,24,-3.6982294,40.4107714
43,26-06-2014,01  CENTRO,01-02 EMBAJADORES," CALLE, DE, LAVAPIES"," CALLE, DE, LAVAPIES 36",36,BiciMAD,24,-3.7025446,40.4100889
44,26-06-2014,01  CENTRO,01-02 EMBAJADORES," CALLE, DEL, MESON DE PAREDES"," CALLE, DEL, MESON DE PAREDES 35",35,BiciMAD,21,-3.7039138,40.4098162
45,26-06-2014,01  CENTRO,01-02 EMBAJADORES," GLORIETA, DE LA, PUERTA DE TOLEDO"," GLORIETA, DE LA, PUERTA DE TOLEDO 1",1,BiciMAD,21,-3.7111381,40.4069486
46,26-06-2014,02  ARGANZUELA,02-02 ACACIAS," CALLE, DE LA, RIBERA DE CURTIDORES"," CALLE, DE LA, RIBERA DE CURTIDORES 28",28,BiciMAD,24,-3.7071178,40.4054496
47,26-06-2014,02  ARGANZUELA,02-02 ACACIAS," GLORIETA, DE, EMBAJADORES"," GLORIETA, DE, EMBAJADORES 7",7,BiciMAD,24,-3.702755,40.4046233
48,26-06-2014,01  CENTRO,01-02 EMBAJADORES," GLORIETA, DE, EMBAJADORES"," GLORIETA, DE, EMBAJADORES 2",2,BiciMAD,24,-3.7020997,40.4054473
49,26-06-2014,01  CENTRO,01-02 EMBAJADORES," RONDA, DE, ATOCHA"," RONDA, DE, ATOCHA 36",36,BiciMAD,24,-3.6992427,40.4060497
50,26-06-2014,01  CENTRO,01-02 EMBAJADORES," CALLE, DE, SANTA ISABEL"," CALLE, DE, SANTA ISABEL 57",57,BiciMAD,24,-3.69322,40.4083102
51,26-06-2014,01  CENTRO,01-02 EMBAJADORES," PLAZA, DEL, EMPERADOR CARLOS V"," PLAZA, DEL, EMPERADOR CARLOS V 7",7,BiciMAD,27,-3.6935934,40.4077234
52,26-06-2014,01  CENTRO,01-03 CORTES," PLAZA, DE, SANTA ANA"," PLAZA, DE, SANTA ANA 9",9,BiciMAD,24,-3.7007838,40.4145181
53,26-06-2014,01  CENTRO,01-02 EMBAJADORES," CALLE, DE, VALENCIA"," CALLE, DE, VALENCIA 2",2,BiciMAD,24,-3.7007295,40.4082802
54,26-06-2014,01  CENTRO,01-04 JUSTICIA," CALLE, DE, BARCELO"," CALLE, DE, BARCELO 7",7,BiciMAD,21,-3.7003435,40.4266233
55,26-06-2014,01  CENTRO,01-05 UNIVERSIDAD," PLAZA, DE, SAN ILDEFONSO"," PLAZA, DE, SAN ILDEFONSO 8",8,BiciMAD,24,-3.7019295,40.4240716
56,26-06-2014,01  CENTRO,01-06 SOL," PLAZA, DEL, CARMEN"," PLAZA, DEL, CARMEN 1",1,BiciMAD,24,-3.7032875,40.418484
57,26-06-2014,01  CENTRO,01-05 UNIVERSIDAD," CALLE, DE, SANTA CRUZ DE MARCENADO"," CALLE, DE, SANTA CRUZ DE MARCENADO 24",24,BiciMAD,24,-3.7128181,40.4296363
58,26-06-2014,01  CENTRO,01-04 JUSTICIA," CALLE, DE, AUGUSTO FIGUEROA"," CALLE, DE, AUGUSTO FIGUEROA 33",33,BiciMAD,24,-3.6979458,40.4222601
